Cities,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Abernathy,2017,"2,756",8,0,0,0,8,27,3,16,8,0
"Abilene2, 3",2017,"122,981",636,4,100,138,394,,,"2,605",260,20
Addison,2017,"15,795",95,0,22,16,57,773,111,565,97,5
Alamo,2017,"19,351",178,0,15,20,143,946,124,771,51,2
Alamo Heights,2017,"8,507",14,0,0,1,13,182,25,152,5,0
Alice,2017,"19,311",90,0,8,3,79,"1,031",308,685,38,12
Allen,2017,"101,779",100,2,24,30,44,"1,268",155,"1,061",52,0
Alpine,2017,"5,983",12,0,1,0,11,64,33,24,7,3
Alton,2017,"17,432",16,0,0,7,9,286,40,234,12,1
Alvarado,2017,"4,033",18,0,4,1,13,94,26,55,13,0
Alvin,2017,"26,488",49,1,21,13,14,485,83,342,60,1
Amarillo,2017,"200,993","1,518",16,183,237,"1,082","8,787","1,684","6,113",990,46
Andrews,2017,"14,032",50,0,8,1,41,175,27,132,16,2
Anna,2017,"12,716",5,1,0,1,3,144,21,112,11,1
Anson,2017,"2,313",18,0,0,0,18,15,8,4,3,0
Anthony,2017,"5,681",11,0,2,2,7,133,10,112,11,1
Aransas Pass,2017,"8,431",53,0,1,4,48,428,115,290,23,3
Arcola,2017,"2,315",1,0,0,0,1,2,2,0,0,0
Argyle,2017,"4,145",3,1,0,1,1,28,3,23,2,0
Arlington3,2017,"397,377","2,054",19,254,576,"1,205","12,707","1,801","9,546","1,360",29
Arp,2017,"1,008",2,0,2,0,0,5,3,2,0,0
Athens,2017,"12,826",41,0,9,7,25,339,78,234,27,1
Atlanta,2017,"5,634",32,0,5,2,25,183,54,124,5,0
Aubrey,2017,"3,535",4,0,0,3,1,13,7,3,3,0
Austin,2017,"971,949","4,032",25,834,987,"2,186","31,001","4,380","24,542","2,079",76
Azle,2017,"12,266",21,0,0,3,18,298,42,249,7,6
Baird,2017,"1,516",8,0,2,0,6,19,3,12,4,0
Balch Springs3,2017,"25,199",193,2,17,54,120,857,139,572,146,0
Balcones Heights,2017,"3,386",41,0,2,12,27,459,36,381,42,0
Ballinger,2017,"3,725",6,0,0,0,6,44,11,32,1,1
Bangs,2017,"1,579",9,0,0,0,9,9,3,6,0,0
Bartonville,2017,"1,715",2,0,2,0,0,12,1,9,2,0
Bastrop,2017,"8,755",51,0,4,9,38,419,38,358,23,1
Bay City3,2017,"17,842",93,3,9,23,58,576,149,416,11,7
Bayou Vista,2017,"1,625",0,0,0,0,0,5,1,4,0,0
Baytown,2017,"76,704",288,6,38,108,136,"2,678",506,"1,846",326,1
Beaumont,2017,"118,456","1,259",16,86,304,853,"5,136","1,259","3,472",405,42
Bedford,2017,"49,947",112,1,23,34,54,"1,028",151,775,102,0
Bee Cave,2017,"7,087",9,0,1,1,7,158,15,138,5,1
Beeville,2017,"13,317",33,1,1,0,31,301,90,203,8,1
Bellaire,2017,"18,892",26,0,4,20,2,301,45,244,12,0
Bellmead3,2017,"10,371",239,0,21,16,202,675,66,581,28,3
Bellville3,2017,"4,304",12,0,8,0,4,57,15,42,0,1
Belton,2017,"21,310",35,1,5,11,18,553,102,447,4,1
Benbrook,2017,"23,236",37,1,9,10,17,441,61,359,21,2
Beverly Hills,2017,"2,021",11,0,0,1,10,68,16,43,9,0
Big Sandy,2017,"1,388",0,0,0,0,0,2,1,0,1,0
Big Spring,2017,"28,747",166,2,8,22,134,"1,029",221,723,85,7
Bishop,2017,"3,135",8,0,0,1,7,43,14,25,4,0
Blanco,2017,"1,989",3,0,0,0,3,32,11,20,1,0
Blue Mound,2017,"2,514",3,0,0,1,2,21,2,15,4,0
Boerne,2017,"15,521",23,1,12,0,10,352,21,302,29,0
Bogata,2017,"1,074",3,0,0,0,3,25,7,17,1,0
Bonham,2017,"10,123",26,0,8,1,17,198,54,140,4,4
Borger3,2017,"12,791",51,2,27,3,19,514,158,320,36,2
Bovina,2017,"1,762",8,0,0,0,8,15,5,9,1,0
Bowie,2017,"5,131",9,0,1,3,5,205,51,145,9,0
Boyd,2017,"1,399",2,0,0,0,2,22,5,16,1,0
Brady,2017,"5,414",6,0,0,0,6,152,52,94,6,0
Brazoria,2017,"3,080",6,0,0,2,4,58,11,42,5,0
Breckenridge,2017,"5,530",15,0,2,0,13,105,24,78,3,2
Bridge City,2017,"8,219",25,0,3,1,21,120,20,87,13,0
Bridgeport3,2017,"6,601",28,0,6,1,21,68,11,53,4,0
Brookshire,2017,"5,323",19,0,2,3,14,62,17,33,12,1
Brownfield,2017,"9,798",28,0,1,4,23,127,30,89,8,1
Brownsville,2017,"185,216",476,5,79,133,259,"5,176",661,"4,374",141,6
Brownwood,2017,"19,133",81,1,20,9,51,672,96,554,22,0
Bryan,2017,"84,438",363,4,53,69,237,"2,028",348,"1,557",123,16
Buda,2017,"16,857",9,0,0,3,6,245,19,215,11,0
Bullard,2017,"3,157",2,0,1,0,1,30,6,23,1,0
Bulverde,2017,"5,101",3,0,1,0,2,139,17,122,0,0
Burkburnett,2017,"11,142",46,0,8,1,37,301,60,220,21,1
Burleson,2017,"46,531",94,4,25,10,55,919,105,747,67,0
Burnet3,2017,"6,422",24,0,6,2,16,95,26,60,9,1
Cactus,2017,"3,176",3,0,0,0,3,20,9,8,3,0
Caddo Mills,2017,"1,587",7,0,2,1,4,9,7,2,0,0
Caldwell,2017,"4,362",14,0,1,1,12,21,2,19,0,1
Calvert,2017,"1,135",3,0,0,1,2,26,14,10,2,0
Cameron,2017,"5,571",22,1,0,2,19,96,36,59,1,2
Canton,2017,"3,882",14,0,2,0,12,73,10,60,3,0
Canyon,2017,"15,458",23,0,3,0,20,95,10,75,10,0
Carrollton,2017,"135,823",166,2,36,61,67,"2,380",463,"1,690",227,0
Carthage,2017,"6,753",28,0,1,2,25,248,39,199,10,0
Castle Hills3,2017,"4,533",10,1,1,5,3,276,76,179,21,0
Castroville,2017,"3,058",0,0,0,0,0,84,3,68,13,0
Cedar Hill,2017,"48,904",115,1,23,42,49,"1,503",154,"1,251",98,2
Cedar Park,2017,"72,143",125,0,51,14,60,"1,006",109,846,51,3
Celina,2017,"8,388",6,0,0,1,5,109,34,71,4,0
Center,2017,"5,412",48,2,5,3,38,166,18,141,7,1
Chandler,2017,"3,031",5,0,0,0,5,35,9,24,2,0
Cibolo,2017,"29,323",31,1,11,6,13,283,34,235,14,1
Cisco,2017,"3,788",10,0,1,0,9,47,10,26,11,0
Clarksville,2017,"3,179",10,0,4,1,5,55,30,25,0,0
Cleburne,2017,"30,320",69,0,24,6,39,700,142,507,51,1
Cleveland,2017,"8,183",54,0,4,9,41,265,27,208,30,3
Clifton,2017,"3,383",4,0,0,0,4,41,13,24,4,0
Clint,2017,"1,175",1,0,0,0,1,7,1,6,0,0
Clute,2017,"11,649",20,1,1,2,16,251,43,190,18,0
Clyde,2017,"3,865",5,0,2,0,3,71,33,36,2,0
Cockrell Hill,2017,"4,294",13,0,2,6,5,127,17,95,15,0
Coleman,2017,"4,388",21,0,0,0,21,40,20,19,1,0
College Station,2017,"115,357",230,1,53,49,127,"2,304",300,"1,887",117,0
Colleyville,2017,"26,737",5,0,0,2,3,154,37,110,7,0
Collinsville,2017,"1,748",1,0,0,0,1,14,4,10,0,0
Colorado City,2017,"3,977",9,0,2,0,7,154,50,97,7,1
Comanche,2017,"4,186",29,0,5,2,22,113,22,90,1,1
Combes,2017,"3,079",7,0,0,0,7,27,7,20,0,0
Commerce,2017,"9,269",42,0,2,12,28,169,44,123,2,1
Conroe,2017,"85,534",249,4,54,65,126,"1,931",276,"1,479",176,3
Converse,2017,"23,510",173,3,5,21,144,462,88,327,47,1
Coppell,2017,"41,809",28,1,5,6,16,533,89,421,23,2
Copperas Cove,2017,"32,895",229,1,4,22,202,846,181,631,34,4
Corinth,2017,"21,297",27,1,0,4,22,260,31,208,21,1
Corpus Christi,2017,"329,256","2,313",21,232,470,"1,590","11,739","2,232","8,776",731,57
Corrigan3,2017,"1,586",11,0,0,1,10,27,8,15,4,0
Corsicana,2017,"24,011",157,0,28,21,108,749,158,554,37,2
Crandall,2017,"3,415",6,0,2,0,4,48,15,23,10,0
Crane,2017,"3,790",3,0,0,0,3,5,1,3,1,0
Crockett,2017,"6,481",43,0,0,3,40,181,42,132,7,0
Crosbyton,2017,"1,688",0,0,0,0,0,5,5,0,0,0
Crowell,2017,823,0,0,0,0,0,0,0,0,0,0
Crowley,2017,"15,340",27,2,3,6,16,310,26,272,12,0
Crystal City,2017,"7,394",20,0,0,1,19,60,30,30,0,0
Cuero2,2017,"8,572",109,0,10,0,99,,,138,9,1
Cumby,2017,796,0,0,0,0,0,0,0,0,0,0
Daingerfield,2017,"2,445",6,0,0,1,5,95,24,68,3,0
Dalhart,2017,"8,366",76,0,11,5,60,275,112,147,16,0
Dallas,2017,"1,338,551","10,369",167,831,"4,377","4,994","42,634","9,874","24,847","7,913",351
Dalworthington Gardens,2017,"2,403",4,0,0,2,2,43,8,31,4,0
Danbury,2017,"1,791",1,0,0,0,1,1,1,0,0,0
Dayton3,2017,"7,815",29,0,2,8,19,196,33,143,20,1
Decatur,2017,"6,755",10,0,1,1,8,178,14,153,11,0
Deer Park,2017,"34,069",38,0,12,3,23,500,70,396,34,2
De Kalb,2017,"1,652",3,0,0,2,1,30,11,15,4,0
De Leon,2017,"2,166",6,0,2,0,4,27,10,15,2,0
Del Rio,2017,"35,994",28,0,4,10,14,693,145,529,19,2
Denison,2017,"23,814",107,4,18,15,70,525,115,340,70,0
Denton,2017,"136,836",416,1,120,94,201,"3,091",426,"2,367",298,0
Denver City,2017,"4,909",3,0,0,0,3,44,8,34,2,0
DeSoto,2017,"53,163",216,3,28,73,112,"1,424",257,"1,009",158,1
Devine3,2017,"4,847",8,0,3,2,3,154,14,125,15,1
Diboll,2017,"5,363",0,0,0,0,0,61,8,50,3,0
Dickinson,2017,"20,303",48,0,16,10,22,483,131,305,47,1
Dilley,2017,"4,309",15,0,0,0,15,73,21,47,5,0
Dimmitt,2017,"4,164",2,0,0,0,2,97,34,54,9,0
Donna3,2017,"16,641",236,0,33,9,194,920,195,678,47,0
Double Oak3,2017,"3,116",2,0,0,0,2,29,8,21,0,0
Driscoll,2017,744,8,0,0,1,7,18,2,15,1,0
Dublin,2017,"3,628",1,0,1,0,0,16,5,10,1,0
Dumas,2017,"14,943",36,1,8,2,25,303,51,224,28,0
Duncanville,2017,"39,603",185,1,19,87,78,"1,085",200,716,169,3
Eagle Lake,2017,"3,722",11,0,0,1,10,3,0,3,0,0
Eagle Pass,2017,"29,257",35,0,0,4,31,548,131,384,33,2
Early,2017,"3,026",14,0,5,0,9,66,13,51,2,1
Eastland3,2017,"3,878",8,0,5,0,3,95,19,75,1,0
Edcouch,2017,"3,397",5,0,1,0,4,19,5,11,3,0
Edinburg,2017,"89,595",299,2,51,44,202,"3,373",472,"2,793",108,8
Edna,2017,"5,874",11,1,2,2,6,109,23,79,7,0
El Campo3,2017,"11,782",40,1,3,2,34,343,69,255,19,2
Electra3,2017,"2,711",10,0,1,0,9,45,12,28,5,0
El Paso,2017,"688,667","2,609",19,371,400,"1,819","12,526","1,297","10,429",800,38
Elsa,2017,"6,798",85,1,0,1,83,276,30,246,0,0
Encinal,2017,591,1,0,0,0,1,3,0,2,1,0
Ennis,2017,"19,331",66,0,18,9,39,437,62,340,35,0
Estelline,2017,136,0,0,0,0,0,0,0,0,0,0
Euless,2017,"55,345",84,1,1,29,53,"1,263",214,909,140,2
Fairfield,2017,"2,922",12,0,0,4,8,45,15,27,3,1
Fair Oaks Ranch,2017,"9,042",3,0,0,0,3,42,12,28,2,0
Fairview,2017,"8,547",1,0,0,0,1,55,11,43,1,0
Falfurrias,2017,"4,928",16,0,0,2,14,186,70,116,0,0
Farmers Branch,2017,"36,186",57,0,10,27,20,790,159,539,92,2
Farmersville,2017,"3,425",8,0,2,0,6,54,18,34,2,0
Farwell,2017,"1,309",6,0,1,0,5,9,4,5,0,0
Fate3,2017,"11,505",10,1,3,0,6,40,6,31,3,0
Ferris,2017,"2,595",7,0,1,3,3,49,14,34,1,0
Flatonia,2017,"1,412",0,0,0,0,0,13,8,4,1,0
Floresville,2017,"7,677",16,0,1,1,14,160,31,117,12,0
Flower Mound,2017,"75,101",44,0,9,4,31,694,79,596,19,4
Floydada,2017,"2,749",26,0,4,1,21,50,23,23,4,0
Forest Hill,2017,"13,044",62,1,2,30,29,375,43,296,36,0
Forney,2017,"20,155",24,0,4,8,12,301,45,233,23,0
Fort Stockton,2017,"8,551",38,1,7,3,27,157,38,112,7,1
Fort Worth,2017,"873,069","4,891",70,569,"1,286","2,966","28,072","5,116","20,250","2,706",151
Frankston3,2017,"1,199",6,0,2,0,4,39,5,32,2,0
Fredericksburg,2017,"11,526",9,0,0,3,6,147,20,124,3,0
Freeport,2017,"12,170",37,0,4,6,27,241,43,186,12,0
Freer,2017,"2,739",12,0,3,0,9,41,18,20,3,0
Friendswood,2017,"39,990",36,0,16,11,9,321,57,247,17,1
Friona,2017,"3,862",5,0,3,0,2,22,13,8,1,0
Frisco,2017,"172,804",176,2,39,36,99,"2,571",309,"2,178",84,2
Fulshear,2017,"8,350",6,0,0,1,5,55,5,48,2,0
Fulton,2017,"1,616",0,0,0,0,0,30,18,9,3,0
Gainesville,2017,"16,372",85,0,18,13,54,528,109,396,23,7
Galveston,2017,"51,021",257,2,63,82,110,"1,790",275,"1,231",284,3
Ganado,2017,"2,121",0,0,0,0,0,16,5,10,1,0
Garden Ridge,2017,"4,079",3,0,1,0,2,47,8,39,0,0
Garland,2017,"236,243",748,8,129,319,292,"7,164","1,214","5,140",810,15
Gatesville,2017,"12,504",19,0,8,1,10,204,41,148,15,0
Georgetown,2017,"71,007",83,0,31,14,38,696,97,564,35,4
George West,2017,"2,602",11,0,1,0,10,9,3,1,5,0
Giddings,2017,"5,154",15,0,2,1,12,109,0,107,2,0
Gilmer,2017,"5,270",52,0,4,5,43,150,29,114,7,0
Gladewater,2017,"6,422",27,0,3,6,18,179,53,117,9,1
Glenn Heights,2017,"12,509",68,0,9,17,42,220,59,149,12,0
Godley,2017,"1,130",5,0,0,0,5,9,4,2,3,0
Gonzales,2017,"7,734",58,0,6,1,51,119,20,91,8,0
Gorman,2017,"1,024",0,0,0,0,0,5,0,4,1,0
Graham,2017,"8,774",21,1,6,1,13,108,25,73,10,0
Granbury,2017,"10,076",15,1,5,2,7,493,35,445,13,0
Grand Prairie,2017,"193,249",573,2,136,174,261,"4,706",582,"3,629",495,5
Grand Saline,2017,"3,151",3,0,1,0,2,72,29,41,2,0
Granger,2017,"1,530",4,0,0,0,4,14,3,10,1,0
Granite Shoals,2017,"5,153",7,0,0,0,7,35,4,25,6,0
Grapeland,2017,"1,408",4,0,0,0,4,21,8,13,0,0
Grapevine,2017,"52,925",107,1,14,19,73,"1,265",114,"1,066",85,4
Greenville,2017,"27,434",110,4,31,19,56,687,111,511,65,12
Gregory,2017,"1,990",7,0,2,0,5,20,7,12,1,0
Groesbeck,2017,"4,320",8,0,4,1,3,117,28,86,3,0
Groves,2017,"15,701",79,0,13,10,56,380,85,266,29,0
Gun Barrel City,2017,"6,062",13,1,1,2,9,117,33,72,12,0
Hallettsville3,2017,"2,591",10,0,1,0,9,63,7,55,1,0
Hallsville,2017,"4,254",3,0,1,0,2,55,18,34,3,0
Haltom City,2017,"44,685",151,0,37,45,69,"1,181",231,800,150,8
Hamilton,2017,"2,951",15,0,2,0,13,80,12,64,4,1
Hamlin,2017,"2,024",8,1,1,1,5,34,23,11,0,0
Happy,2017,646,0,0,0,0,0,0,0,0,0,0
Harker Heights,2017,"30,252",78,5,23,24,26,"1,034",130,852,52,4
Harlingen,2017,"65,617",233,0,18,32,183,"2,693",523,"2,079",91,15
Haskell,2017,"3,173",5,0,2,0,3,13,7,5,1,0
Hawkins,2017,"1,305",5,0,0,2,3,15,4,11,0,1
Hawley,2017,611,0,0,0,0,0,10,5,4,1,0
Hearne,2017,"4,490",32,2,8,1,21,171,60,107,4,0
Heath,2017,"8,638",4,0,0,1,3,62,17,43,2,1
Hedwig Village,2017,"2,681",6,1,0,4,1,192,9,177,6,0
Helotes,2017,"9,011",8,0,1,2,5,143,24,116,3,0
