City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition1)","Rape
(legacy
definition2)",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Del Rio,2016,"36,177",58,1,3,,11,43,844,156,664,24,2
Denison,2016,"23,237",110,0,12,,12,86,557,135,372,50,0
Denton,2016,"134,054",349,5,95,,73,176,"3,025",543,"2,313",169,1
Denver City,2016,"4,949",7,0,3,,0,4,68,17,48,3,0
DeSoto,2016,"53,143",174,4,19,,61,90,"1,675",396,"1,103",176,4
Devine,2016,"4,775",16,0,3,,1,12,105,19,80,6,0
Diboll,2016,"5,399",7,0,2,,1,4,47,19,24,4,0
Dickinson,2016,"20,131",71,0,24,,16,31,430,77,307,46,1
Dilley,2016,"4,290",12,0,1,,2,9,94,39,51,4,1
Dimmitt,2016,"4,153",6,0,0,,1,5,112,37,74,1,0
Donna,2016,"16,672",179,0,35,,14,130,806,165,604,37,0
Double Oak,2016,"3,118",0,0,0,,0,0,13,2,11,0,0
Driscoll,2016,754,2,0,0,,0,2,5,2,3,0,0
Dublin,2016,"3,667",7,0,3,,0,4,44,25,18,1,0
Dumas,2016,"15,051",23,0,3,,1,19,232,44,177,11,2
Duncanville,2016,"40,075",203,0,21,,121,61,"1,249",240,821,188,1
Eagle Lake,2016,"3,652",6,0,0,,3,3,14,6,8,0,0
Eagle Pass,2016,"29,257",43,1,0,,10,32,689,145,533,11,1
Early,2016,"2,842",19,0,0,,0,19,69,19,47,3,1
Eastland,2016,"3,799",8,0,0,,0,8,126,20,100,6,0
East Mountain,2016,818,1,0,0,,0,1,6,3,3,0,0
Edcouch,2016,"3,344",0,0,0,,0,0,0,0,0,0,0
Edgewood,2016,"1,452",3,0,0,,0,3,2,2,0,0,0
Edinburg,2016,"86,535",354,3,61,,51,239,"4,183",545,"3,481",157,9
Edna,2016,"5,855",12,0,1,,1,10,130,27,101,2,2
El Campo,2016,"11,604",50,1,4,,6,39,339,48,279,12,1
Electra,2016,"2,695",5,0,0,,0,5,61,21,37,3,0
Elgin,2016,"9,229",32,1,2,,17,12,182,29,132,21,0
El Paso,2016,"687,193","2,682",17,314,,476,"1,875","12,357","1,410","10,135",812,49
Elsa3,2016,"6,861",46,0,1,,1,44,257,31,226,0,0
Encinal,2016,599,0,0,0,,0,0,0,0,0,0,0
Ennis,2016,"19,096",67,1,23,,13,30,526,99,389,38,0
Estelline,2016,134,0,0,0,,0,0,0,0,0,0,0
Euless,2016,"54,791",112,2,12,,47,51,"1,215",212,890,113,5
Everman,2016,"6,399",22,1,1,,4,16,193,36,138,19,0
Fairfield,2016,"2,905",4,0,0,,1,3,34,4,26,4,0
Fair Oaks Ranch,2016,"7,723",3,0,0,,1,2,45,34,11,0,0
Fairview,2016,"8,685",2,0,0,,0,2,53,8,41,4,0
Falfurrias,2016,"4,962",14,0,1,,0,13,149,54,95,0,5
Farmers Branch,2016,"33,571",55,0,10,,29,16,875,165,625,85,2
Farmersville,2016,"3,474",9,0,3,,3,3,57,12,43,2,0
Farwell,2016,"1,301",0,0,0,,0,0,17,5,11,1,0
Ferris,2016,"2,552",8,0,2,,1,5,54,14,35,5,0
Flatonia,2016,"1,404",1,0,0,,0,1,11,4,7,0,0
Florence,2016,"1,249",0,0,0,,0,0,3,1,1,1,0
Floresville,2016,"7,499",25,0,4,,3,18,249,19,210,20,0
Flower Mound,2016,"72,600",33,0,7,,4,22,601,64,507,30,2
Floydada,2016,"2,729",17,1,2,,0,14,59,19,37,3,1
Forest Hill,2016,"12,984",60,3,2,,33,22,427,84,290,53,0
Forney,2016,"19,252",24,0,5,,3,16,324,58,240,26,1
Fort Stockton,2016,"8,721",45,0,5,,1,39,221,43,168,10,1
Fort Worth,2016,"851,849","4,483",66,499,,"1,165","2,753","28,124","5,316","20,422","2,386",140
Frankston,2016,"1,163",12,0,1,,0,11,37,12,19,6,0
Fredericksburg,2016,"11,205",9,0,0,,1,8,196,28,163,5,1
Freeport,2016,"12,175",30,0,2,,6,22,328,75,238,15,1
Freer,2016,"2,718",16,0,1,,2,13,75,13,57,5,0
Friendswood,2016,"39,402",27,0,11,,6,10,302,36,250,16,0
Friona,2016,"3,849",1,0,1,,0,0,33,12,16,5,0
Frisco,2016,"162,917",126,0,21,,27,78,"2,392",314,"2,018",60,9
Fulshear,2016,"8,237",2,0,0,,0,2,55,16,38,1,0
Fulton,2016,"1,580",1,0,0,,0,1,37,22,15,0,0
Gainesville,2016,"16,349",98,0,25,,8,65,563,97,427,39,9
Galena Park,2016,"11,209",41,0,5,,11,25,162,43,98,21,0
Galveston,2016,"50,667",244,6,60,,77,101,"1,771",331,"1,244",196,3
Ganado,2016,"2,116",6,0,2,,1,3,17,6,11,0,0
Garden Ridge,2016,"3,971",7,0,3,,0,4,83,10,70,3,0
Garland,2016,"238,859",767,7,117,,345,298,"7,663","1,477","5,348",838,23
Gatesville3,2016,"15,717",25,1,12,,1,11,169,32,119,18,0
Georgetown,2016,"67,436",85,0,22,,11,52,707,124,544,39,2
George West,2016,"2,670",10,0,0,,1,9,25,4,21,0,0
Giddings,2016,"5,102",18,0,1,,4,13,110,0,104,6,0
Gilmer,2016,"5,246",40,0,3,,1,36,194,32,142,20,0
Gladewater,2016,"6,427",40,2,2,,3,33,199,39,141,19,3
Glenn Heights,2016,"12,185",48,0,3,,13,32,291,68,199,24,4
Godley,2016,"1,082",1,0,0,,0,1,11,1,9,1,1
Gonzales,2016,"7,609",91,0,14,,1,76,192,32,153,7,0
Gorman,2016,"1,045",6,0,2,,0,4,19,8,11,0,0
Graham3,2016,"8,857",18,0,3,,2,13,128,23,98,7,0
Granbury,2016,"9,683",15,0,3,,2,10,466,47,407,12,1
Grand Prairie,2016,"190,270",587,9,139,,185,254,"4,527",704,"3,320",503,8
Grand Saline,2016,"3,130",5,0,4,,0,1,51,9,38,4,0
Granger,2016,"1,536",1,0,0,,0,1,16,1,15,0,0
Granite Shoals,2016,"5,104",7,0,0,,0,7,49,4,40,5,0
Grapeland,2016,"1,404",4,0,0,,0,4,36,21,15,0,0
Grapevine,2016,"52,423",87,0,7,,20,60,"1,256",139,"1,052",65,2
Greenville,2016,"26,689",128,4,22,,33,69,804,140,602,62,12
Gregory,2016,"2,012",4,0,0,,0,4,7,3,3,1,0
Groesbeck,2016,"4,299",8,0,3,,1,4,102,43,57,2,0
Groves,2016,"15,680",82,0,8,,12,62,387,85,281,21,1
Gun Barrel City,2016,"6,048",16,0,1,,2,13,175,50,91,34,1
Hallettsville,2016,"2,601",4,0,1,,0,3,50,6,43,1,0
Haltom City,2016,"44,558",117,0,30,,30,57,"1,059",222,738,99,5
Hamilton,2016,"2,908",13,0,1,,0,12,102,36,58,8,1
Hamlin,2016,"2,026",6,0,0,,2,4,24,9,11,4,0
Happy,2016,651,0,0,0,,0,0,0,0,0,0,0
Harker Heights,2016,"29,600",72,0,14,,24,34,944,146,759,39,2
Harlingen,2016,"65,913",281,2,35,,58,186,"2,590",503,"2,018",69,35
Haskell,2016,"3,209",7,0,0,,1,6,14,3,7,4,0
Hawkins,2016,"1,296",0,0,0,,0,0,9,4,5,0,0
Hawley,2016,610,0,0,0,,0,0,5,0,4,1,0
Hearne,2016,"4,459",28,0,6,,6,16,79,26,51,2,0
Heath,2016,"8,400",7,0,4,,0,3,47,13,33,1,0
Hedwig Village,2016,"2,724",3,0,0,,3,0,183,13,166,4,1
Helotes,2016,"8,855",7,0,4,,3,0,211,27,180,4,1
Hemphill,2016,"1,209",0,0,0,,0,0,16,2,12,2,0
Hempstead,2016,"7,403",78,0,10,,9,59,163,37,122,4,1
Henderson,2016,"13,491",103,1,4,,6,92,571,85,458,28,2
Hereford,2016,"14,941",56,0,1,,7,48,378,97,258,23,1
Hewitt,2016,"14,384",23,0,3,,3,17,133,29,98,6,1
Hickory Creek,2016,"4,348",3,0,0,,1,2,77,6,67,4,1
Hidalgo,2016,"13,943",22,0,5,,3,14,291,30,244,17,1
Highland Park,2016,"9,316",5,0,0,,1,4,199,32,148,19,0
Highland Village,2016,"16,357",8,0,2,,1,5,109,17,89,3,0
Hill Country Village,2016,"1,083",0,0,0,,0,0,52,8,40,4,0
Hillsboro,2016,"8,297",20,0,4,,9,7,278,44,218,16,0
Hitchcock,2016,"7,753",27,1,3,,5,18,206,59,136,11,1
Hollywood Park,2016,"3,338",2,0,0,,1,1,78,10,61,7,0
Hondo,2016,"9,178",66,0,13,,2,51,306,49,248,9,0
Hooks,2016,"2,739",0,0,0,,0,0,39,13,24,2,0
Horizon City,2016,"19,808",10,0,0,,4,6,153,19,115,19,2
Horseshoe Bay,2016,"3,585",10,0,1,,0,9,37,7,23,7,0
Houston,2016,"2,334,348","23,960",301,"1,210",,"9,962","12,487","100,856","18,488","69,630","12,738",668
Howe,2016,"2,840",7,0,0,,0,7,16,4,12,0,0
Hubbard,2016,"1,359",0,0,0,,0,0,3,1,2,0,0
Hudson,2016,"4,837",10,0,0,,1,9,23,14,8,1,0
Hudson Oaks,2016,"2,262",4,0,2,,1,1,117,11,105,1,0
Hughes Springs,2016,"1,780",1,0,0,,0,1,8,2,5,1,1
Humble,2016,"15,770",121,0,16,,64,41,"1,567",158,"1,238",171,1
Huntington,2016,"2,145",6,0,3,,0,3,44,17,26,1,0
Huntsville3,2016,"41,390",174,1,27,,26,120,745,139,556,50,1
Hurst,2016,"39,345",96,1,17,,39,39,"1,627",156,"1,403",68,5
Hutchins,2016,"5,809",23,0,0,,12,11,191,44,133,14,0
Hutto,2016,"24,160",19,0,4,,2,13,178,28,142,8,1
Idalou,2016,"2,343",2,0,0,,0,2,18,4,11,3,0
Indian Lake,2016,642,0,0,0,,0,0,1,0,1,0,0
Ingram,2016,"1,828",5,0,0,,0,5,40,7,32,1,0
Iowa Park,2016,"6,338",5,0,1,,0,4,75,20,53,2,1
Irving,2016,"240,765",521,5,37,,213,266,"6,490","1,183","4,674",633,23
Italy,2016,"1,904",8,0,1,,0,7,14,7,6,1,0
Itasca,2016,"1,621",5,0,1,,0,4,26,11,14,1,1
Jacinto City,2016,"10,825",27,0,0,,15,12,270,48,191,31,0
Jacksboro,2016,"4,410",12,0,5,,0,7,83,20,53,10,1
Jacksonville,2016,"14,950",116,0,11,,17,88,513,118,380,15,2
Jamaica Beach,2016,"1,059",1,0,0,,1,0,15,2,10,3,0
Jarrell,2016,"1,209",0,0,0,,0,0,14,3,10,1,0
Jasper,2016,"7,617",38,0,0,,6,32,403,123,274,6,3
Jefferson,2016,"2,038",15,0,2,,2,11,42,14,28,0,0
Jersey Village,2016,"7,954",16,0,2,,5,9,208,33,147,28,0
Johnson City,2016,"2,021",1,0,0,,0,1,6,0,6,0,0
Jones Creek,2016,"2,076",0,0,0,,0,0,23,5,17,1,0
Jonestown,2016,"2,074",3,0,2,,0,1,31,9,18,4,1
Josephine,2016,"1,139",1,0,0,,1,0,0,0,0,0,0
Joshua,2016,"6,101",26,0,5,,0,21,69,15,49,5,0
Jourdanton,2016,"4,355",3,0,0,,0,3,3,1,2,0,0
Junction,2016,"2,421",3,0,0,,0,3,14,1,13,0,0
Karnes City,2016,"3,437",18,0,3,,1,14,87,22,63,2,0
Keene3,2016,"6,206",26,0,3,,1,22,96,24,68,4,0
Keller,2016,"47,047",30,0,8,,3,19,265,48,210,7,0
Kemah,2016,"2,028",7,0,1,,4,2,159,11,141,7,0
Kenedy,2016,"3,444",14,1,0,,2,11,185,41,139,5,0
Kennedale,2016,"7,910",12,1,3,,3,5,155,56,91,8,0
Kermit,2016,"6,596",2,0,0,,1,1,36,13,21,2,0
Kerrville,2016,"23,287",72,2,9,,6,55,597,92,477,28,5
Kilgore,2016,"15,258",64,0,12,,11,41,523,86,406,31,1
Killeen,2016,"143,248",996,16,129,,234,617,"3,946","1,124","2,471",351,42
Kingsville,2016,"26,227",65,2,3,,8,52,919,193,704,22,3
Kirby,2016,"8,658",32,0,0,,7,25,193,53,118,22,0
Kirbyville,2016,"2,128",8,0,1,,1,6,33,8,25,0,1
Knox City,2016,"1,194",9,0,1,,0,8,29,11,18,0,0
Kountze,2016,"2,074",5,0,0,,0,5,31,9,16,6,0
Kress,2016,681,3,0,1,,0,2,2,1,0,1,0
Kyle,2016,"37,407",77,3,8,,7,59,612,75,483,54,1
Lacy-Lakeview,2016,"6,629",31,0,5,,5,21,235,40,181,14,2
La Feria,2016,"7,349",19,0,2,,1,16,174,40,132,2,5
Lago Vista,2016,"6,643",35,0,6,,2,27,68,18,45,5,0
La Grange,2016,"4,728",30,0,6,,3,21,73,18,53,2,0
La Grulla,2016,"1,709",4,0,0,,0,4,16,3,13,0,0
Laguna Vista,2016,"3,223",7,0,0,,0,7,27,8,19,0,0
Lake City,2016,520,0,0,0,,0,0,0,0,0,0,0
Lake Dallas,2016,"8,053",24,0,6,,2,16,75,19,46,10,1
Lake Jackson,2016,"27,676",54,1,15,,15,23,443,63,350,30,0
Lakeside,2016,"1,401",1,0,0,,0,1,7,1,4,2,0
Lakeway,2016,"14,771",18,0,2,,0,16,203,22,169,12,0
Lake Worth,2016,"4,870",15,0,0,,10,5,451,101,339,11,0
La Marque,2016,"16,191",123,4,10,,21,88,845,172,619,54,1
Lamesa,2016,"9,429",60,1,9,,3,47,371,88,266,17,3
Lancaster,2016,"39,219",224,4,21,,88,111,"1,257",288,762,207,3
La Porte,2016,"35,410",73,1,11,,13,48,602,97,432,73,0
Laredo,2016,"259,325",940,12,148,,160,620,"7,890","1,015","6,646",229,53
La Vernia,2016,"1,312",3,0,0,,1,2,25,5,19,1,0
La Villa,2016,"2,632",3,0,0,,0,3,9,2,6,1,0
Lavon,2016,"3,045",1,0,0,,0,1,13,2,11,0,0
League City,2016,"101,436",82,5,35,,22,20,"1,937",256,"1,589",92,10
Leander,2016,"40,650",46,0,19,,4,23,455,57,377,21,3
Leon Valley,2016,"11,376",36,0,2,,6,28,779,94,622,63,0
Levelland,2016,"13,997",84,0,25,,4,55,526,148,359,19,5
Lewisville,2016,"105,762",211,0,45,,49,117,"2,558",449,"1,839",270,9
Lexington,2016,"1,183",6,0,1,,1,4,27,4,23,0,1
Liberty,2016,"9,169",37,0,6,,1,30,329,36,274,19,0
Lindale,2016,"5,883",26,0,3,,1,22,208,47,155,6,1
Linden,2016,"1,978",16,0,0,,2,14,36,20,13,3,1
Little Elm,2016,"41,421",41,0,12,,1,28,397,55,322,20,1
Littlefield,2016,"6,033",49,0,5,,1,43,151,40,94,17,0
Live Oak,2016,"15,809",25,1,3,,9,12,714,76,586,52,3
Livingston,2016,"5,140",26,0,6,,4,16,210,22,173,15,2
Lockhart,2016,"13,590",36,0,7,,6,23,318,79,229,10,0
Lone Star,2016,"1,514",9,0,0,,2,7,57,16,41,0,0
Lorena,2016,"1,745",3,0,1,,1,1,30,2,25,3,0
Los Fresnos,2016,"6,716",43,0,2,,1,40,203,27,174,2,0
Lubbock,2016,"252,900","2,741",6,177,,471,"2,087","12,661","2,678","8,933","1,050",47
Lufkin,2016,"36,581",139,1,4,,32,102,"1,542",293,"1,164",85,5
Luling,2016,"5,838",25,0,4,,2,19,111,21,85,5,0
Lumberton,2016,"12,500",22,1,2,,0,19,207,32,156,19,0
Lyford,2016,"2,605",11,0,2,,1,8,50,13,33,4,1
Lytle,2016,"2,946",2,0,0,,0,2,174,20,148,6,0
Madisonville3,2016,"4,681",38,0,1,,5,32,175,41,122,12,0
Magnolia,2016,"1,932",5,0,0,,4,1,38,17,17,4,0
Malakoff,2016,"2,292",16,0,1,,1,14,13,8,4,1,0
Manor,2016,"8,200",36,1,2,,4,29,279,22,252,5,0
Mansfield,2016,"65,882",67,1,16,,19,31,777,118,610,49,4
Manvel,2016,"8,645",4,0,0,,1,3,108,41,63,4,1
Marble Falls,2016,"6,323",23,0,6,,0,17,298,60,228,10,0
Marlin,2016,"5,626",14,0,0,,0,14,26,9,11,6,0
Marshall,2016,"23,876",137,3,5,,31,98,982,298,625,59,10
Martindale,2016,"1,237",0,0,0,,0,0,1,1,0,0,0
Mathis,2016,"5,062",51,0,0,,2,49,146,43,97,6,5
McAllen,2016,"142,227",215,3,40,,65,107,"4,470",331,"4,022",117,13
McKinney,2016,"169,689",243,5,49,,65,124,"2,231",288,"1,793",150,14
Meadows Place,2016,"4,781",8,2,1,,3,2,115,22,82,11,0
Melissa,2016,"8,132",7,1,0,,1,5,84,13,68,3,0
Memorial Villages,2016,"12,282",6,0,0,,5,1,114,26,85,3,2
Memphis,2016,"2,109",9,0,0,,1,8,23,10,13,0,0
Mercedes,2016,"16,830",84,0,13,,6,65,668,106,528,34,5
Merkel,2016,"2,619",7,0,0,,0,7,36,10,25,1,0
Mesquite,2016,"145,786",603,2,66,,250,285,"5,534",957,"3,843",734,9
Mexia,2016,"7,393",61,1,7,,10,43,233,47,174,12,3
Midland,2016,"137,780",412,3,24,,93,292,"3,352",604,"2,563",185,11
Midlothian,2016,"23,085",32,1,10,,3,18,287,43,226,18,0
Milford,2016,741,0,0,0,,0,0,5,2,2,1,0
Mineola,2016,"4,649",9,0,3,,0,6,107,19,83,5,1
Mineral Wells,2016,"14,391",56,0,1,,3,52,649,138,459,52,1
Mission,2016,"84,380",120,0,36,,40,44,"2,179",358,"1,707",114,40
Missouri City,2016,"75,607",144,3,22,,56,63,"1,263",216,953,94,3
Monahans,2016,"7,854",24,0,5,,1,18,144,32,100,12,0
Mont Belvieu,2016,"5,482",15,0,2,,6,7,114,12,73,29,0
Montgomery,2016,849,4,0,1,,0,3,22,8,14,0,0
Morgans Point Resort,2016,"4,257",6,0,0,,0,6,14,3,11,0,0
Moulton,2016,911,1,0,0,,0,1,0,0,0,0,0
Mount Pleasant,2016,"16,058",73,0,16,,13,44,585,117,451,17,0
Muleshoe,2016,"5,193",1,0,0,,0,1,77,10,64,3,0
Munday,2016,"1,347",1,0,0,,0,1,25,11,14,0,0
Murphy,2016,"21,175",6,0,0,,0,6,153,7,143,3,1
Mustang Ridge,2016,990,1,0,0,,0,1,10,5,2,3,2
Nacogdoches,2016,"34,079",116,1,29,,27,59,865,185,642,38,0
Naples,2016,"1,333",3,1,1,,1,0,45,13,29,3,1
Nash,2016,"3,177",10,0,1,,0,9,59,10,46,3,0
Nassau Bay,2016,"4,118",4,0,1,,2,1,140,20,101,19,0
Natalia,2016,"1,504",2,0,0,,0,2,51,21,29,1,0
Navasota,2016,"7,545",57,1,5,,6,45,215,57,136,22,1
Nederland,2016,"17,240",45,0,9,,2,34,409,62,319,28,0
Needville,2016,"3,088",3,0,1,,0,2,20,8,12,0,0
New Boston,2016,"4,666",7,0,0,,0,7,141,14,122,5,0
New Braunfels,2016,"73,334",207,1,34,,25,147,"1,721",245,"1,295",181,1
Nixon,2016,"2,482",2,0,0,,1,1,52,22,29,1,0
Nocona,2016,"2,921",11,0,1,,1,9,13,7,4,2,0
Normangee,2016,695,4,0,0,,0,4,19,7,8,4,0
Northeast,2016,"2,535",2,0,0,,1,1,74,6,67,1,0
Northlake,2016,"2,329",6,0,0,,0,6,57,13,37,7,0
North Richland Hills,2016,"70,409",129,2,35,,39,53,"1,370",198,"1,090",82,3
Oak Ridge,2016,180,1,0,0,,0,1,0,0,0,0,0
Oak Ridge North,2016,"3,181",4,0,0,,1,3,76,7,66,3,0
Odessa,2016,"123,209",996,4,75,,136,781,"4,118",791,"2,890",437,14
Olmos Park,2016,"2,420",0,0,0,,0,0,41,2,35,4,0
Olney,2016,"3,159",2,0,0,,2,0,54,20,31,3,1
Olton,2016,"2,121",4,0,0,,0,4,8,3,4,1,1
Omaha,2016,986,1,0,0,,0,1,9,3,5,1,0
Onalaska,2016,"1,770",8,0,0,,0,8,14,10,1,3,0
Orange,2016,"19,493",126,3,0,,39,84,530,177,301,52,12
Orange Grove,2016,"1,337",7,0,0,,1,6,30,6,20,4,0
Overton,2016,"2,532",27,1,1,,0,25,40,12,26,2,0
Ovilla,2016,"3,933",0,0,0,,0,0,31,8,20,3,0
Oyster Creek,2016,"1,136",19,0,1,,0,18,34,9,22,3,0
Paducah,2016,"1,109",1,0,0,,0,1,10,4,5,1,0
Palacios,2016,"4,617",13,0,4,,0,9,136,39,88,9,0
Palestine,2016,"18,194",240,2,37,,17,184,471,114,309,48,1
Palmer,2016,"2,064",3,0,0,,1,2,46,13,33,0,0
Palmhurst,2016,"2,714",7,0,1,,1,5,86,6,75,5,0
Palm Valley,2016,"1,291",1,0,1,,0,0,0,0,0,0,0
