City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Abernathy,2014,"2,801",6,0,3,,0,3,36,15,19,2,0
Abilene,2014,"120,686",571,7,93,,128,343,"5,344","1,095","3,887",362,28
Addison,2014,"16,061",67,0,8,,15,44,686,83,541,62,2
Alamo,2014,"19,054",145,1,6,,13,125,"1,244",160,992,92,2
Alamo Heights,2014,"7,673",5,0,1,,1,3,257,44,210,3,1
Alice,2014,"19,689",143,1,8,,6,128,"1,029",245,740,44,11
Allen,2014,"93,889",73,0,23,,19,31,"1,128",151,915,62,3
Alpine,2014,"6,058",7,1,0,,0,6,49,20,27,2,2
Alton,2014,"15,311",10,0,1,,4,5,253,45,186,22,1
Alvarado,2014,"3,821",18,0,5,,3,10,95,16,73,6,0
Alvin,2014,"25,252",67,1,21,,17,28,697,100,559,38,0
Amarillo,2014,"197,724","1,344",7,228,,283,826,"9,343","1,834","6,659",850,36
Andrews,2014,"13,153",80,1,13,,4,62,310,54,223,33,1
Angleton,2014,"19,020",52,1,13,,4,34,421,80,321,20,3
Anna,2014,"9,851",4,0,0,,0,4,140,30,100,10,0
Anson,2014,"2,325",9,1,2,,3,3,58,25,29,4,0
Anthony,2014,"5,365",13,0,1,,3,9,152,11,135,6,1
Aransas Pass,2014,"8,367",37,0,0,,8,29,444,154,270,20,3
Arcola,2014,"1,637",3,2,0,,0,1,17,1,14,2,0
Argyle,2014,"3,644",1,0,1,,0,0,19,9,9,1,0
Arlington,2014,"382,976","1,854",13,206,,493,"1,142","13,462","2,470","10,086",906,26
Arp,2014,986,0,0,0,,0,0,7,3,4,0,0
Athens,2014,"12,823",44,1,14,,6,23,541,147,370,24,0
Atlanta,2014,"5,624",22,0,7,,2,13,272,77,187,8,0
Aubrey,2014,"2,742",8,0,2,,0,6,37,6,31,0,0
Austin,2014,"903,924","3,581",32,571,,873,"2,105","37,444","5,733","29,423","2,288",95
Azle,2014,"11,426",39,1,0,,8,30,424,85,324,15,4
Baird,2014,"1,498",5,1,0,,1,3,34,16,18,0,1
Balch Springs,2014,"25,305",233,2,15,,30,186,"1,079",212,721,146,0
Balcones Heights,2014,"2,873",21,0,3,,3,15,450,19,403,28,0
Ballinger,2014,"3,669",12,0,5,,0,7,121,48,72,1,1
Bangs,2014,"1,585",5,0,2,,0,3,9,2,7,0,0
Bastrop,2014,"7,635",37,0,2,,12,23,441,30,387,24,3
Bay City,2014,"17,480",55,0,6,,13,36,726,171,540,15,5
Bayou Vista,2014,"1,564",0,0,0,,0,0,35,7,25,3,0
Baytown,2014,"76,253",241,5,32,,84,120,"3,157",638,"2,091",428,16
Beaumont,2014,"117,898","1,050",16,91,,293,650,"5,530","1,456","3,861",213,40
Bedford,2014,"48,977",219,1,20,,28,170,"1,295",204,"1,023",68,1
Bee Cave,2014,"5,674",7,0,1,,0,6,158,10,140,8,0
Beeville,2014,"13,397",28,0,0,,1,27,423,98,319,6,0
Bellaire,2014,"18,093",25,0,3,,13,9,331,86,228,17,0
Bellmead,2014,"10,077",171,0,13,,15,143,"1,122",86,"1,002",34,1
Bellville,2014,"4,187",12,0,4,,3,5,111,30,78,3,0
Belton,2014,"19,858",40,1,6,,10,23,960,166,771,23,0
Benbrook,2014,"22,439",28,2,2,,4,20,382,47,300,35,2
Bertram,2014,"1,360",6,0,0,,0,6,35,13,19,3,0
Beverly Hills,2014,"2,012",14,0,0,,2,12,93,22,58,13,1
Big Sandy,2014,"1,361",1,0,0,,0,1,0,0,0,0,0
Big Spring,2014,"28,338",216,1,5,,36,174,"1,333",310,965,58,5
Bishop,2014,"3,193",2,0,1,,0,1,53,9,42,2,0
Blanco,2014,"1,800",3,0,0,,0,3,34,7,27,0,0
Blue Mound,2014,"2,480",1,0,0,,0,1,17,3,9,5,0
Boerne,2014,"12,853",31,0,7,,3,21,297,28,261,8,1
Bogata,2014,"1,111",4,0,0,,0,4,30,14,15,1,1
Bonham,2014,"9,975",9,0,3,,0,6,244,48,191,5,2
Borger,2014,"12,974",113,2,6,,5,100,468,125,308,35,0
Bovina,2014,"1,789",5,0,0,,0,5,10,5,4,1,0
Bowie,2014,"5,191",19,2,2,,3,12,317,69,232,16,1
Boyd,2014,"1,271",9,0,0,,1,8,36,8,25,3,0
Brady,2014,"5,568",3,0,0,,0,3,92,26,61,5,2
Brazoria,2014,"3,047",9,0,3,,0,6,56,16,38,2,0
Breckenridge,2014,"5,469",8,0,2,,0,6,80,22,57,1,1
Bremond,2014,911,3,0,0,,1,2,12,4,7,1,2
Brenham,2014,"16,188",53,1,6,,10,36,487,110,358,19,15
Bridge City,2014,"7,911",22,0,5,,4,13,108,26,72,10,0
Bridgeport,2014,"6,199",17,0,4,,2,11,75,20,54,1,0
Brookshire,2014,"4,906",22,0,2,,5,15,81,17,55,9,0
Brookside Village,2014,"1,550",6,0,1,,2,3,9,5,3,1,0
Brownfield,2014,"9,751",28,1,5,,2,20,256,76,172,8,3
Brownsville,2014,"183,433",558,5,103,,138,312,"7,505","1,068","6,258",179,20
Brownwood,2014,"18,890",68,1,12,,6,49,787,178,595,14,1
Bryan,2014,"79,267",338,5,68,,58,207,"2,521",549,"1,865",107,17
Buda,2014,"11,020",13,0,3,,5,5,326,29,284,13,0
Bullard,2014,"2,704",0,0,0,,0,0,34,6,24,4,0
Bulverde,2014,"4,888",1,0,0,,0,1,56,17,39,0,0
Burkburnett,2014,"11,035",21,0,4,,2,15,300,53,228,19,1
Burleson,2014,"41,733",69,0,18,,9,42,914,118,758,38,3
Burnet,2014,"6,096",39,1,6,,1,31,109,34,70,5,0
Cactus,2014,"3,149",10,0,2,,0,8,30,9,18,3,0
Caddo Mills,2014,"1,404",1,1,0,,0,0,12,2,9,1,0
Caldwell,2014,"4,244",2,0,2,,0,0,23,3,20,0,0
Calvert,2014,"1,147",6,0,0,,1,5,33,11,21,1,1
Cameron,2014,"5,401",24,0,1,,7,16,177,42,130,5,1
Canton,2014,"3,566",24,0,0,,0,24,153,0,152,1,0
Canyon,2014,"14,055",9,0,2,,0,7,106,9,92,5,0
Carrollton,2014,"128,577",166,1,6,,54,105,"2,784",510,"2,028",246,8
Carthage,2014,"6,873",33,0,6,,3,24,363,55,298,10,0
Castle Hills,2014,"4,329",7,0,0,,6,1,270,25,229,16,0
Castroville,2014,"2,906",2,0,0,,1,1,50,4,45,1,0
Cedar Hill,2014,"47,057",93,0,13,,28,52,"1,439",271,"1,103",65,3
Cedar Park,2014,"63,681",67,1,35,,7,24,965,141,786,38,15
Celina,2014,"6,926",8,0,1,,1,6,74,18,56,0,0
Center,2014,"5,302",44,0,2,,8,34,254,51,193,10,0
Cibolo,2014,"24,846",15,0,1,,3,11,283,65,206,12,3
Cisco,2014,"3,799",5,0,0,,0,5,63,34,25,4,0
Clarksville,2014,"3,156",27,0,3,,0,24,124,37,85,2,1
Cleveland,2014,"7,713",75,1,12,,13,49,717,77,601,39,5
Clifton,2014,"3,359",4,0,0,,0,4,40,12,26,2,0
Clint,2014,945,1,0,0,,0,1,1,0,0,1,0
Clute,2014,"11,305",15,1,0,,0,14,162,34,123,5,1
Clyde,2014,"3,740",2,0,0,,1,1,61,29,32,0,1
Cockrell Hill,2014,"4,311",14,1,3,,5,5,112,17,79,16,2
Coleman,2014,"4,473",8,0,0,,0,8,142,78,61,3,1
College Station,2014,"101,483",191,0,45,,31,115,"2,343",517,"1,748",78,1
Colleyville,2014,"24,915",10,1,2,,0,7,142,17,124,1,0
Collinsville,2014,"1,632",0,0,0,,0,0,16,9,7,0,0
Colorado City,2014,"4,120",22,0,0,,1,21,154,83,70,1,0
Columbus,2014,"3,646",6,0,3,,1,2,64,8,55,1,0
Comanche,2014,"4,184",21,0,1,,0,20,179,40,139,0,0
Combes,2014,"3,050",14,0,2,,0,12,43,18,25,0,1
Commerce,2014,"8,324",29,0,5,,6,18,250,97,147,6,2
Conroe,2014,"64,446",206,2,28,,71,105,"2,211",431,"1,672",108,4
Converse,2014,"20,833",88,0,16,,6,66,420,64,323,33,1
Coppell,2014,"40,746",23,0,7,,8,8,495,79,399,17,0
Copperas Cove,2014,"33,366",112,1,11,,17,83,957,173,760,24,5
Corinth,2014,"20,810",19,0,3,,2,14,191,40,137,14,1
Corpus Christi,2014,"319,211","2,094",27,280,,377,"1,410","14,110","2,316","11,233",561,50
Corrigan,2014,"1,541",5,0,0,,0,5,43,18,23,2,0
Corsicana,2014,"23,976",120,0,14,,31,75,"1,123",322,776,25,2
Crandall,2014,"3,086",10,0,0,,0,10,65,36,22,7,2
Crane,2014,"3,774",6,0,0,,0,6,15,1,12,2,0
Crockett,2014,"6,544",29,0,0,,3,26,224,48,168,8,0
Crosbyton,2014,"1,699",3,0,0,,0,3,22,3,18,1,1
Crowell,2014,895,0,0,0,,0,0,0,0,0,0,0
Crowley,2014,"14,413",33,3,0,,5,25,346,45,289,12,1
Crystal City,2014,"7,518",1,0,0,,0,1,250,108,139,3,0
