State,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Denver City,2018,"4,909",3,0,0,0,3,44,8,34,2,0
DeSoto,2018,"53,163",216,3,28,73,112,"1,424",257,"1,009",158,1
Devine3,2018,"4,847",8,0,3,2,3,154,14,125,15,1
Diboll,2018,"5,363",0,0,0,0,0,61,8,50,3,0
Dickinson,2018,"20,303",48,0,16,10,22,483,131,305,47,1
Dilley,2018,"4,309",15,0,0,0,15,73,21,47,5,0
Dimmitt,2018,"4,164",2,0,0,0,2,97,34,54,9,0
Donna3,2018,"16,641",236,0,33,9,194,920,195,678,47,0
Double Oak3,2018,"3,116",2,0,0,0,2,29,8,21,0,0
Driscoll,2018,744,8,0,0,1,7,18,2,15,1,0
Dublin,2018,"3,628",1,0,1,0,0,16,5,10,1,0
Dumas,2018,"14,943",36,1,8,2,25,303,51,224,28,0
Duncanville,2018,"39,603",185,1,19,87,78,"1,085",200,716,169,3
Eagle Lake,2018,"3,722",11,0,0,1,10,3,0,3,0,0
Eagle Pass,2018,"29,257",35,0,0,4,31,548,131,384,33,2
Early,2018,"3,026",14,0,5,0,9,66,13,51,2,1
Eastland3,2018,"3,878",8,0,5,0,3,95,19,75,1,0
Edcouch,2018,"3,397",5,0,1,0,4,19,5,11,3,0
Edinburg,2018,"89,595",299,2,51,44,202,"3,373",472,"2,793",108,8
Edna,2018,"5,874",11,1,2,2,6,109,23,79,7,0
El Campo3,2018,"11,782",40,1,3,2,34,343,69,255,19,2
Electra3,2018,"2,711",10,0,1,0,9,45,12,28,5,0
El Paso,2018,"688,667","2,609",19,371,400,"1,819","12,526","1,297","10,429",800,38
Elsa,2018,"6,798",85,1,0,1,83,276,30,246,0,0
Encinal,2018,591,1,0,0,0,1,3,0,2,1,0
Ennis,2018,"19,331",66,0,18,9,39,437,62,340,35,0
Estelline,2018,136,0,0,0,0,0,0,0,0,0,0
Euless,2018,"55,345",84,1,1,29,53,"1,263",214,909,140,2
Fairfield,2018,"2,922",12,0,0,4,8,45,15,27,3,1
Fair Oaks Ranch,2018,"9,042",3,0,0,0,3,42,12,28,2,0
Fairview,2018,"8,547",1,0,0,0,1,55,11,43,1,0
Falfurrias,2018,"4,928",16,0,0,2,14,186,70,116,0,0
Farmers Branch,2018,"36,186",57,0,10,27,20,790,159,539,92,2
Farmersville,2018,"3,425",8,0,2,0,6,54,18,34,2,0
Farwell,2018,"1,309",6,0,1,0,5,9,4,5,0,0
Fate3,2018,"11,505",10,1,3,0,6,40,6,31,3,0
Ferris,2018,"2,595",7,0,1,3,3,49,14,34,1,0
Flatonia,2018,"1,412",0,0,0,0,0,13,8,4,1,0
Floresville,2018,"7,677",16,0,1,1,14,160,31,117,12,0
Flower Mound,2018,"75,101",44,0,9,4,31,694,79,596,19,4
Floydada,2018,"2,749",26,0,4,1,21,50,23,23,4,0
Forest Hill,2018,"13,044",62,1,2,30,29,375,43,296,36,0
Forney,2018,"20,155",24,0,4,8,12,301,45,233,23,0
Fort Stockton,2018,"8,551",38,1,7,3,27,157,38,112,7,1
Fort Worth,2018,"873,069","4,891",70,569,"1,286","2,966","28,072","5,116","20,250","2,706",151
Frankston3,2018,"1,199",6,0,2,0,4,39,5,32,2,0
Fredericksburg,2018,"11,526",9,0,0,3,6,147,20,124,3,0
Freeport,2018,"12,170",37,0,4,6,27,241,43,186,12,0
Freer,2018,"2,739",12,0,3,0,9,41,18,20,3,0
Friendswood,2018,"39,990",36,0,16,11,9,321,57,247,17,1
Friona,2018,"3,862",5,0,3,0,2,22,13,8,1,0
Frisco,2018,"172,804",176,2,39,36,99,"2,571",309,"2,178",84,2
Fulshear,2018,"8,350",6,0,0,1,5,55,5,48,2,0
Fulton,2018,"1,616",0,0,0,0,0,30,18,9,3,0
Gainesville,2018,"16,372",85,0,18,13,54,528,109,396,23,7
Galveston,2018,"51,021",257,2,63,82,110,"1,790",275,"1,231",284,3
Ganado,2018,"2,121",0,0,0,0,0,16,5,10,1,0
Garden Ridge,2018,"4,079",3,0,1,0,2,47,8,39,0,0
Garland,2018,"236,243",748,8,129,319,292,"7,164","1,214","5,140",810,15
Gatesville,2018,"12,504",19,0,8,1,10,204,41,148,15,0
Georgetown,2018,"71,007",83,0,31,14,38,696,97,564,35,4
George West,2018,"2,602",11,0,1,0,10,9,3,1,5,0
Giddings,2018,"5,154",15,0,2,1,12,109,0,107,2,0
Gilmer,2018,"5,270",52,0,4,5,43,150,29,114,7,0
Gladewater,2018,"6,422",27,0,3,6,18,179,53,117,9,1
Glenn Heights,2018,"12,509",68,0,9,17,42,220,59,149,12,0
Godley,2018,"1,130",5,0,0,0,5,9,4,2,3,0
Gonzales,2018,"7,734",58,0,6,1,51,119,20,91,8,0
Gorman,2018,"1,024",0,0,0,0,0,5,0,4,1,0
Graham,2018,"8,774",21,1,6,1,13,108,25,73,10,0
Granbury,2018,"10,076",15,1,5,2,7,493,35,445,13,0
Grand Prairie,2018,"193,249",573,2,136,174,261,"4,706",582,"3,629",495,5
Grand Saline,2018,"3,151",3,0,1,0,2,72,29,41,2,0
Granger,2018,"1,530",4,0,0,0,4,14,3,10,1,0
Granite Shoals,2018,"5,153",7,0,0,0,7,35,4,25,6,0
Grapeland,2018,"1,408",4,0,0,0,4,21,8,13,0,0
Grapevine,2018,"52,925",107,1,14,19,73,"1,265",114,"1,066",85,4
Greenville,2018,"27,434",110,4,31,19,56,687,111,511,65,12
Gregory,2018,"1,990",7,0,2,0,5,20,7,12,1,0
Groesbeck,2018,"4,320",8,0,4,1,3,117,28,86,3,0
Groves,2018,"15,701",79,0,13,10,56,380,85,266,29,0
Gun Barrel City,2018,"6,062",13,1,1,2,9,117,33,72,12,0
Hallettsville3,2018,"2,591",10,0,1,0,9,63,7,55,1,0
Hallsville,2018,"4,254",3,0,1,0,2,55,18,34,3,0
Haltom City,2018,"44,685",151,0,37,45,69,"1,181",231,800,150,8
Hamilton,2018,"2,951",15,0,2,0,13,80,12,64,4,1
Hamlin,2018,"2,024",8,1,1,1,5,34,23,11,0,0
Happy,2018,646,0,0,0,0,0,0,0,0,0,0
Harker Heights,2018,"30,252",78,5,23,24,26,"1,034",130,852,52,4
Harlingen,2018,"65,617",233,0,18,32,183,"2,693",523,"2,079",91,15
Haskell,2018,"3,173",5,0,2,0,3,13,7,5,1,0
Hawkins,2018,"1,305",5,0,0,2,3,15,4,11,0,1
Hawley,2018,611,0,0,0,0,0,10,5,4,1,0
Hearne,2018,"4,490",32,2,8,1,21,171,60,107,4,0
Heath,2018,"8,638",4,0,0,1,3,62,17,43,2,1
Hedwig Village,2018,"2,681",6,1,0,4,1,192,9,177,6,0
Helotes,2018,"9,011",8,0,1,2,5,143,24,116,3,0
Hemphill,2018,"1,224",2,0,0,0,2,10,2,8,0,0
Henderson,2018,"13,366",94,0,6,6,82,489,52,421,16,2
Hereford,2018,"14,832",58,0,3,5,50,356,69,263,24,4
Hewitt,2018,"14,443",18,0,4,4,10,172,32,132,8,1
Hickory Creek,2018,"4,413",6,0,2,1,3,78,6,66,6,2
Hidalgo,2018,"14,048",39,0,5,3,31,216,21,185,10,0
Highland Park,2018,"9,248",4,0,0,1,3,196,28,163,5,0
Highland Village,2018,"16,884",11,0,0,0,11,167,11,151,5,0
Hill Country Village,2018,"1,098",0,0,0,0,0,45,9,34,2,0
Hillsboro,2018,"8,348",23,1,3,4,15,365,34,307,24,2
Hitchcock,2018,"7,949",14,0,2,0,12,188,39,128,21,0
Hollywood Park3,2018,"3,371",1,0,0,1,0,83,16,61,6,0
Hondo,2018,"9,353",40,0,5,1,34,306,52,238,16,0
Hooks,2018,"2,734",4,0,1,0,3,40,11,27,2,1
Horizon City,2018,"19,695",16,0,0,3,13,118,17,94,7,1
Horseshoe Bay,2018,"3,732",14,0,1,0,13,48,8,38,2,0
Houston,2018,"2,338,235","25,609",269,"1,366","9,773","14,201","96,532","17,108","67,828","11,596",665
Hughes Springs,2018,"1,777",6,0,0,0,6,7,2,5,0,1
Humble,2018,"15,631",147,1,36,61,49,"1,521",136,"1,209",176,0
Huntington,2018,"2,105",6,0,3,0,3,51,21,27,3,0
Huntsville,2018,"41,634",160,1,23,24,112,675,102,485,88,2
Hurst,2018,"39,459",87,0,28,41,18,"1,543",148,"1,327",68,4
Hutchins,2018,"5,693",16,0,0,8,8,220,67,153,0,0
Hutto,2018,"25,283",22,0,6,4,12,138,16,118,4,0
Idalou,2018,"2,348",3,0,1,0,2,11,2,8,1,0
Indian Lake3,2018,657,0,0,0,0,0,5,2,3,0,0
Ingleside,2018,"10,698",21,1,6,4,10,206,54,135,17,0
Ingram,2018,"1,843",2,0,0,0,2,18,6,9,3,1
Iowa Park,2018,"6,361",7,0,3,0,4,49,8,34,7,0
Irving,2018,"242,062",549,8,54,228,259,"6,147",969,"4,467",711,23
Itasca,2018,"1,650",2,0,0,0,2,30,7,22,1,0
Jacinto City,2018,"10,718",18,0,0,11,7,254,30,189,35,0
Jacksboro,2018,"4,323",9,0,3,0,6,65,9,52,4,3
Jacksonville3,2018,"14,955",107,1,8,9,89,386,100,270,16,0
Jamaica Beach,2018,"1,078",1,0,1,0,0,19,7,11,1,0
Jarrell,2018,"1,416",3,0,0,0,3,23,10,12,1,0
Jasper,2018,"7,663",37,0,0,5,32,349,93,242,14,2
Jersey Village,2018,"7,938",14,0,1,6,7,176,41,103,32,0
Jones Creek,2018,"2,070",1,0,0,0,1,14,4,9,1,0
Jonestown,2018,"2,065",5,0,1,2,2,38,13,19,6,0
Josephine,2018,"1,328",1,0,0,0,1,5,3,2,0,1
Joshua,2018,"6,983",12,0,3,1,8,105,31,67,7,0
Jourdanton,2018,"4,404",3,0,0,1,2,3,0,3,0,0
Junction,2018,"2,445",2,0,0,0,2,14,6,7,1,0
Karnes City,2018,"3,400",15,0,5,0,10,61,18,40,3,0
Katy,2018,"17,669",57,0,13,15,29,668,60,572,36,0
"Kaufman2, 3",2018,"7,276",28,0,5,4,19,,,135,17,0
Keene,2018,"6,334",31,0,3,1,27,66,18,44,4,0
Keller,2018,"47,892",25,0,7,7,11,300,56,233,11,1
Kemah,2018,"2,037",7,0,0,6,1,157,8,143,6,0
Kenedy,2018,"3,401",11,0,0,1,10,141,28,108,5,1
Kennedale,2018,"8,032",21,0,6,8,7,139,27,102,10,0
Kermit,2018,"6,459",0,0,0,0,0,14,6,8,0,0
Kerrville,2018,"23,610",53,0,4,6,43,561,49,489,23,3
Kilgore,2018,"15,074",53,2,10,0,41,422,80,313,29,3
Killeen,2018,"145,912","1,118",18,151,313,636,"4,109","1,140","2,403",566,29
Kingsville,2018,"26,048",109,1,3,24,81,925,221,679,25,6
Kirby,2018,"8,746",37,1,3,16,17,275,55,178,42,0
Knox City,2018,"1,167",7,0,1,0,6,17,11,6,0,0
Kountze,2018,"2,094",7,0,0,1,6,40,7,26,7,0
Kress,2018,675,0,0,0,0,0,2,1,1,0,0
Kyle,2018,"41,189",86,0,16,18,52,649,64,524,61,2
Lacy-Lakeview,2018,"6,633",42,0,9,6,27,222,44,167,11,0
La Feria,2018,"7,279",42,0,0,2,40,164,27,131,6,0
Lago Vista,2018,"6,718",13,0,3,0,10,66,15,48,3,0
La Grange,2018,"4,699",29,0,8,2,19,115,16,95,4,2
La Grulla,2018,"1,720",6,0,0,1,5,15,8,7,0,0
Laguna Vista,2018,"3,207",2,0,0,0,2,26,2,22,2,0
La Joya,2018,"4,343",10,0,1,0,9,69,11,57,1,0
Lake City,2018,527,0,0,0,0,0,0,0,0,0,0
Lake Dallas,2018,"8,013",23,0,3,1,19,109,30,75,4,0
Lake Jackson,2018,"27,647",45,1,14,8,22,575,67,484,24,2
Lakeside,2018,"1,411",2,0,0,0,2,26,2,18,6,0
"Lakeview, Harrison County",2018,"6,410",5,0,1,0,4,53,9,38,6,0
Lakeway,2018,"15,195",20,0,3,2,15,169,13,148,8,0
Lake Worth,2018,"4,921",13,0,1,8,4,444,88,341,15,0
La Marque,2018,"16,796",90,6,19,14,51,752,112,576,64,3
Lampasas,2018,"7,910",18,1,2,2,13,213,28,177,8,0
Lancaster,2018,"39,225",222,0,14,94,114,"1,247",193,814,240,5
La Porte,2018,"35,293",103,0,20,16,67,527,77,401,49,3
Laredo,2018,"260,669",839,10,114,154,561,"6,474",874,"5,430",170,71
La Vernia,2018,"1,484",8,0,3,0,5,46,20,21,5,0
La Villa,2018,"2,702",3,0,0,0,3,16,5,11,0,0
Lavon,2018,"3,247",2,0,1,0,1,18,1,17,0,0
League City,2018,"105,351",97,3,34,18,42,"1,718",218,"1,407",93,3
Leander,2018,"46,219",58,0,22,5,31,523,73,426,24,4
Leon Valley,2018,"11,508",67,0,8,22,37,670,78,530,62,1
Levelland,2018,"13,901",121,0,19,3,99,514,117,366,31,4
Lewisville,2018,"106,199",280,3,51,71,155,"2,134",340,"1,565",229,6
Liberty,2018,"9,308",52,0,11,5,36,228,35,181,12,0
Lindale,2018,"6,044",24,0,10,1,13,213,42,158,13,1
Linden,2018,"1,971",5,0,0,0,5,47,13,30,4,0
Little Elm,2018,"46,097",36,1,8,8,19,267,43,198,26,0
Littlefield3,2018,"5,983",39,0,6,0,33,86,21,58,7,3
Live Oak,2018,"16,214",31,0,9,12,10,628,35,554,39,1
Livingston3,2018,"5,107",24,0,3,1,20,218,34,177,7,1
Lockhart,2018,"13,662",35,0,3,5,27,278,34,226,18,2
Log Cabin,2018,721,0,0,0,0,0,29,13,13,3,0
Lone Star,2018,"1,524",19,0,0,1,18,21,3,18,0,0
Longview,2018,"82,303",396,6,62,99,229,"2,803",614,"1,947",242,6
Lorena,2018,"1,752",3,0,1,0,2,40,3,33,4,0
Los Indios,2018,"1,068",4,0,0,0,4,8,3,5,0,0
Lufkin,2018,"36,329",142,4,0,33,105,"1,553",264,"1,206",83,2
Luling,2018,"5,962",35,2,6,3,24,106,13,81,12,1
Lumberton2,2018,"12,690",17,0,2,2,13,,,121,10,1
Lyford,2018,"2,592",10,0,3,0,7,43,9,31,3,0
Lytle,2018,"2,967",18,0,4,3,11,88,8,74,6,0
Madisonville,2018,"4,672",50,0,2,2,46,146,50,96,0,0
Magnolia,2018,"2,107",1,0,0,1,0,26,9,15,2,1
Manor,2018,"9,102",45,0,12,5,28,317,37,265,15,1
Mansfield,2018,"67,233",78,0,21,20,37,808,154,612,42,0
Manvel,2018,"9,756",9,1,0,2,6,108,40,59,9,1
Marble Falls,2018,"6,358",24,0,11,0,13,234,55,172,7,0
Marshall,2018,"23,564",157,0,6,28,123,908,264,579,65,3
Martindale,2018,"1,255",2,0,0,1,1,1,1,0,0,0
Mathis,2018,"4,939",62,3,0,3,56,173,58,112,3,4
McAllen,2018,"144,162",208,7,27,49,125,"4,007",185,"3,776",46,8
McGregor,2018,"5,082",15,0,0,2,13,28,11,16,1,0
McKinney,2018,"179,934",267,2,46,68,151,"2,417",297,"1,965",155,12
Meadows Place,2018,"4,745",4,0,0,1,3,136,18,106,12,0
Melissa,2018,"9,270",4,0,2,1,1,34,7,22,5,1
Memorial Villages,2018,"12,319",1,0,0,1,0,85,10,75,0,0
Memphis,2018,"2,113",15,0,0,0,15,6,1,4,1,0
Mercedes,2018,"16,762",98,0,14,9,75,713,123,557,33,10
Merkel,2018,"2,613",3,0,1,0,2,29,9,18,2,0
Mesquite,2018,"144,406",616,6,74,244,292,"5,264",773,"3,642",849,6
Mexia,2018,"7,441",41,0,4,9,28,243,30,210,3,0
Midland,2018,"138,954",377,2,37,59,279,"2,677",431,"2,026",220,5
Midlothian,2018,"24,617",22,0,5,0,17,415,34,359,22,4
Milford,2018,750,6,1,2,0,3,12,4,7,1,0
Mineola,2018,"4,756",20,0,1,0,19,92,6,81,5,0
Mission,2018,"84,511",98,0,27,30,41,"2,005",231,"1,700",74,19
Missouri City,2018,"75,863",149,2,23,46,78,969,133,767,69,0
Monahans,2018,"7,765",11,0,0,2,9,83,19,58,6,0
Mont Belvieu3,2018,"5,913",10,0,6,0,4,141,17,107,17,0
Montgomery,2018,985,1,0,1,0,0,8,1,7,0,1
Moulton,2018,911,1,0,1,0,0,1,1,0,0,0
Mount Pleasant,2018,"16,316",75,1,23,4,47,580,84,478,18,1
Muleshoe,2018,"5,160",6,0,0,0,6,50,12,34,4,0
Munday,2018,"1,328",0,0,0,0,0,4,3,1,0,0
Murphy,2018,"20,926",6,0,4,0,2,127,11,113,3,1
Nacogdoches,2018,"34,093",94,1,19,25,49,946,146,773,27,1
Naples,2018,"1,344",13,1,0,0,12,13,6,7,0,2
Nash,2018,"3,393",8,0,3,2,3,75,32,37,6,0
Nassau Bay,2018,"4,073",6,1,1,4,0,115,23,84,8,1
Natalia,2018,"1,537",3,0,0,0,3,18,11,7,0,0
Navasota,2018,"7,604",30,2,7,4,17,160,51,95,14,1
Nederland,2018,"17,344",59,0,7,8,44,462,79,347,36,1
Needville,2018,"3,101",5,0,1,0,4,20,3,15,2,0
New Boston,2018,"4,667",10,0,0,3,7,156,15,132,9,0
New Braunfels,2018,"76,993",193,1,33,29,130,"1,321",221,952,148,8
Newton,2018,"2,391",2,0,0,0,2,18,8,8,2,0
Nixon,2018,"2,514",6,0,0,0,6,26,10,13,3,0
Nocona,2018,"2,952",3,0,1,0,2,20,12,7,1,0
Nolanville,2018,"5,072",9,1,2,1,5,60,17,40,3,0
Normangee,2018,704,0,0,0,0,0,0,0,0,0,0
Northeast,2018,"2,981",2,0,0,0,2,59,7,49,3,0
Northlake,2018,"2,507",4,0,0,2,2,66,8,51,7,1
North Richland Hills,2018,"70,910",147,2,31,34,80,"1,373",208,"1,064",101,2
Oak Ridge,2018,194,0,0,0,0,0,0,0,0,0,0
Odessa,2018,"121,194",912,7,78,101,726,"3,219",560,"2,386",273,10
Olmos Park,2018,"2,448",0,0,0,0,0,38,2,34,2,0
Olney,2018,"3,147",3,0,0,2,1,51,23,25,3,0
Olton,2018,"2,097",3,0,0,0,3,15,7,7,1,0
Omaha,2018,993,0,0,0,0,0,7,3,3,1,0
Onalaska,2018,"2,529",9,0,1,0,8,13,5,5,3,0
Orange,2018,"19,552",132,2,1,43,86,420,147,226,47,10
Ovilla,2018,"4,060",3,0,1,0,2,30,4,24,2,0
Oyster Creek,2018,"1,129",15,0,0,1,14,43,13,27,3,0
Paducah,2018,"1,089",3,0,0,0,3,2,1,1,0,0
Palacios,2018,"4,676",7,0,0,2,5,121,40,78,3,0
Palestine3,2018,"18,316",130,2,16,12,100,364,88,248,28,1
Palmer,2018,"2,081",3,0,0,0,3,31,4,22,5,0
Palmhurst,2018,"2,746",8,0,0,0,8,150,1,149,0,0
Palm Valley,2018,"1,288",0,0,0,0,0,0,0,0,0,0
Palmview,2018,"5,791",52,1,3,5,43,255,50,202,3,2
Panhandle,2018,"2,358",10,0,1,0,9,11,2,8,1,0
Pantego3,2018,"2,569",18,0,1,3,14,119,21,89,9,0
Paris,2018,"24,978",218,1,4,31,182,852,191,613,48,0
Parker,2018,"4,541",3,0,1,0,2,22,10,8,4,0
Pasadena,2018,"154,000",711,5,93,195,418,"3,773",636,"2,758",379,23
Patton Village,2018,"1,953",3,1,0,0,2,37,7,23,7,2
Pearsall,2018,"10,222",7,0,0,1,6,215,65,139,11,1
Pecos,2018,"9,820",116,0,7,5,104,153,31,121,1,0
Pelican Bay,2018,"1,664",3,0,0,0,3,22,15,7,0,1
Penitas,2018,"4,935",6,0,0,0,6,11,1,8,2,0
Perryton3,2018,"8,890",41,0,0,0,41,117,31,74,12,0
Pflugerville3,2018,"61,212",102,1,31,15,55,968,127,796,45,2
Pharr,2018,"78,467",204,4,44,33,123,"1,673",268,"1,343",62,2
Pilot Point,2018,"4,313",5,0,3,0,2,37,11,25,1,0
Pinehurst,2018,"2,085",10,0,0,3,7,49,8,38,3,0
Pittsburg,2018,"4,736",19,0,3,3,13,137,38,94,5,0
Plainview,2018,"20,641",66,0,21,10,35,603,112,442,49,1
Plano,2018,"290,413",435,15,81,119,220,"5,035",728,"3,968",339,25
Pleasanton,2018,"10,563",39,0,13,5,21,411,71,311,29,0
Ponder3,2018,"1,602",3,0,2,0,1,20,8,11,1,0
Port Aransas,2018,"4,156",10,0,5,0,5,359,60,272,27,1
Port Arthur,2018,"55,583",378,6,15,110,247,"2,031",767,"1,111",153,5
Port Isabel,2018,"5,017",33,0,0,0,33,219,15,192,12,1
