City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Elgin,2015,"8,744",26,0,0,,15,11,180,38,131,11,0
El Paso,2015,"686,077","2,515",17,322,,410,"1,766","13,133","1,419","10,916",798,57
Elsa,2015,"6,876",48,0,0,,3,45,131,23,108,0,0
Ennis,2015,"18,885",52,0,5,,11,36,636,101,506,29,0
Euless,2015,"54,188",78,0,16,,29,33,"1,092",163,809,120,4
Everman,2015,"6,364",23,0,3,,7,13,172,60,98,14,0
Fairfield,2015,"2,899",3,0,0,,1,2,27,6,21,0,0
Fair Oaks Ranch,2015,"7,163",4,0,2,,0,2,48,13,33,2,1
Fairview,2015,"8,648",4,0,0,,0,4,51,7,41,3,0
Falfurrias,2015,"4,938",12,1,0,,0,11,125,45,80,0,7
Farmers Branch,2015,"33,626",49,1,5,,18,25,797,124,573,100,2
Farmersville,2015,"3,455",7,0,1,,0,6,71,30,38,3,0
Farwell,2015,"1,299",4,0,1,,0,3,20,6,12,2,0
Ferris,2015,"2,523",3,0,2,,0,1,59,12,40,7,0
Flatonia,2015,"1,387",6,0,0,,0,6,22,10,10,2,0
Florence,2015,"1,239",0,0,0,,0,0,5,1,4,0,0
Floresville,2015,"7,324",19,0,1,,1,17,286,37,237,12,1
Flower Mound,2015,"70,894",34,0,9,,5,20,506,80,404,22,0
Floydada,2015,"2,756",12,0,2,,1,9,60,15,43,2,0
Forest Hill,2015,"12,901",28,0,2,,10,16,429,123,263,43,1
Forney,2015,"18,314",23,0,9,,2,12,266,49,190,27,0
Fort Stockton,2015,"8,527",47,0,8,,6,33,311,56,235,20,1
Fort Worth,2015,"829,731","4,359",56,516,,981,"2,806","29,752","6,005","21,489","2,258",142
Frankston,2015,"1,174",9,0,2,,1,6,47,14,31,2,0
Fredericksburg,2015,"10,971",3,0,0,,0,3,157,12,137,8,0
Freeport,2015,"12,227",28,0,5,,2,21,266,78,173,15,1
Freer,2015,"2,749",6,0,0,,0,6,51,12,37,2,0
Friendswood,2015,"38,851",28,1,17,,3,7,355,60,277,18,3
Friona,2015,"3,930",1,0,0,,0,1,26,7,17,2,0
Frisco,2015,"152,678",139,2,32,,29,76,"2,379",364,"1,961",54,3
Fulton,2015,"1,534",10,0,0,,0,10,20,10,10,0,0
Gainesville,2015,"16,119",81,1,10,,13,57,712,170,501,41,6
Galena Park,2015,"11,240",37,0,10,,8,19,220,49,129,42,1
Galveston,2015,"50,065",224,2,61,,76,85,"1,818",335,"1,296",187,15
Ganado,2015,"2,105",0,0,0,,0,0,21,10,11,0,0
Garden Ridge,2015,"3,862",2,0,2,,0,0,30,6,24,0,0
Garland,2015,"237,593",709,8,107,,323,271,"7,491","1,374","5,363",754,32
Gatesville,2015,"15,901",24,0,9,,3,12,180,31,137,12,0
Georgetown,2015,"62,264",87,0,26,,11,50,770,109,632,29,0
Giddings,2015,"5,084",19,0,3,,5,11,110,2,107,1,0
Gilmer,2015,"5,224",56,0,8,,1,47,176,24,142,10,2
Gladewater,2015,"6,426",27,0,4,,5,18,227,52,154,21,1
Glenn Heights,2015,"12,060",42,0,6,,7,29,225,59,143,23,3
Godley,2015,"1,061",6,0,1,,0,5,21,1,14,6,0
Gonzales,2015,"7,517",89,0,8,,0,81,219,43,169,7,1
Gorman,2015,"1,040",3,0,0,,0,3,38,7,30,1,3
Graham,2015,"8,856",21,1,3,,2,15,167,20,137,10,0
Granbury,2015,"9,326",19,0,10,,1,8,559,68,481,10,0
Grand Prairie,2015,"187,901",461,7,90,,138,226,"4,089",700,"2,897",492,18
Grand Saline,2015,"3,083",2,0,0,,0,2,64,15,47,2,0
Granger,2015,"1,511",0,0,0,,0,0,36,6,29,1,0
Granite Shoals,2015,"5,018",13,0,1,,0,12,54,18,36,0,0
Grapeland,2015,"1,406",3,0,0,,0,3,23,14,6,3,0
Grapevine,2015,"51,962",72,0,8,,15,49,"1,089",114,908,67,2
Greenville,2015,"26,313",110,0,28,,27,55,896,246,588,62,3
Gregory,2015,"1,992",3,0,0,,0,3,3,3,0,0,2
Groesbeck,2015,"4,319",8,0,5,,0,3,72,20,49,3,0
Groves,2015,"15,665",90,0,9,,13,68,414,106,289,19,0
Gun Barrel City,2015,"6,027",9,0,0,,1,8,217,57,140,20,0
Hallettsville,2015,"2,611",18,0,1,,0,17,78,16,59,3,0
Hallsville,2015,"3,986",7,0,0,,0,7,33,14,19,0,0
Haltom City,2015,"44,276",127,0,35,,32,60,"1,356",285,923,148,3
Hamilton,2015,"2,932",9,0,0,,1,8,96,31,60,5,1
Hamlin,2015,"2,015",7,0,1,,0,6,32,9,20,3,0
Harker Heights,2015,"28,935",79,2,23,,17,37,798,150,617,31,1
Harlingen,2015,"66,122",199,1,31,,51,116,"2,188",531,"1,605",52,26
Haskell,2015,"3,230",4,0,1,,0,3,14,2,9,3,0
Hawkins,2015,"1,290",0,0,0,,0,0,26,8,16,2,0
Hawley,2015,605,0,0,0,,0,0,7,4,3,0,0
Hearne,2015,"4,408",41,1,2,,5,33,93,34,56,3,0
Heath,2015,"8,176",2,0,0,,0,2,56,7,47,2,0
Hedwig Village,2015,"2,705",6,0,0,,6,0,191,23,159,9,0
Helotes,2015,"8,629",6,1,0,,2,3,195,13,179,3,0
Hemphill,2015,"1,184",2,0,1,,0,1,22,3,15,4,0
Hempstead,2015,"6,941",119,0,4,,15,100,239,37,201,1,0
Henderson,2015,"13,574",93,0,3,,2,88,536,81,436,19,3
Hereford,2015,"15,165",50,0,8,,8,34,343,68,257,18,11
Hewitt,2015,"14,307",15,0,3,,2,10,164,29,128,7,0
Hickory Creek,2015,"4,223",5,0,0,,0,5,64,11,51,2,0
Hidalgo,2015,"13,732",30,1,9,,1,19,293,23,241,29,0
Highland Park,2015,"9,045",2,0,0,,2,0,178,11,154,13,0
Highland Village,2015,"16,214",14,0,1,,1,12,127,15,104,8,0
Hill Country Village,2015,"1,066",1,0,0,,1,0,53,13,32,8,0
Hillsboro,2015,"8,327",28,0,4,,8,16,331,44,274,13,0
Hitchcock,2015,"7,558",15,0,1,,2,12,154,41,93,20,2
Hollywood Park,2015,"3,298",0,0,0,,0,0,108,41,60,7,1
Hondo,2015,"9,114",25,0,1,,3,21,358,31,318,9,4
Hooks,2015,"2,747",1,0,0,,1,0,21,8,11,2,0
Horizon City,2015,"19,995",18,0,0,,5,13,223,32,180,11,4
Horseshoe Bay,2015,"3,483",10,0,0,,1,9,35,6,27,2,0
Houston,2015,"2,275,221","21,994",303,986,,"10,278","10,427","100,053","19,859","66,634","13,560",671
Howe,2015,"2,616",9,0,1,,0,8,28,6,16,6,0
Hubbard,2015,"1,388",4,0,1,,0,3,3,2,1,0,0
Hudson,2015,"4,781",18,0,2,,1,15,72,18,53,1,0
Hughes Springs,2015,"1,773",5,0,0,,0,5,12,6,5,1,0
Humble,2015,"15,734",150,0,30,,60,60,"1,692",147,"1,380",165,1
Huntington,2015,"2,104",6,0,2,,1,3,46,30,14,2,0
Huntsville,2015,"40,866",185,2,33,,33,117,868,153,656,59,4
Hurst,2015,"39,069",103,1,26,,36,40,"1,674",168,"1,446",60,4
Hutchins,2015,"5,452",10,0,0,,2,8,163,28,124,11,0
Hutto,2015,"22,458",17,0,3,,5,9,151,17,130,4,0
Idalou,2015,"2,336",3,0,2,,0,1,25,8,14,3,0
Ingleside,2015,"9,716",32,0,6,,0,26,265,104,148,13,5
Ingram,2015,"1,821",3,0,1,,0,2,54,7,41,6,0
Irving,2015,"236,465",469,9,32,,197,231,"6,041","1,100","4,339",602,26
Italy,2015,"1,888",6,0,0,,0,6,35,19,13,3,0
Itasca,2015,"1,615",3,0,0,,1,2,23,12,11,0,0
Jacinto City,2015,"10,870",32,0,1,,23,8,244,53,162,29,0
Jacksboro,2015,"4,391",14,0,3,,0,11,81,24,49,8,0
Jacksonville,2015,"14,708",95,1,8,,14,72,494,132,343,19,2
Jamaica Beach,2015,"1,041",0,0,0,,0,0,20,5,13,2,0
Jarrell,2015,"1,123",1,0,0,,0,1,8,1,5,2,0
Jasper,2015,"7,638",36,0,1,,3,32,439,67,361,11,3
Jefferson,2015,"2,031",11,0,1,,0,10,64,16,44,4,0
Jersey Village,2015,"7,975",16,0,1,,5,10,211,71,105,35,1
Johnson City,2015,"1,909",3,0,1,,0,2,8,2,5,1,0
Jones Creek,2015,"2,087",2,0,0,,0,2,10,3,7,0,0
Jonestown,2015,"2,068",5,0,0,,2,3,44,12,29,3,0
Joshua,2015,"6,029",22,0,4,,2,16,79,15,63,1,0
Jourdanton,2015,"4,274",1,0,0,,0,1,0,0,0,0,0
Junction,2015,"2,451",4,0,0,,1,3,26,5,19,2,0
Karnes City,2015,"3,382",8,0,1,,0,7,67,14,52,1,1
Katy,2015,"15,969",62,0,18,,11,33,719,63,621,35,3
Kaufman,2015,"7,047",15,0,3,,2,10,150,19,116,15,0
Keene,2015,"6,168",17,0,0,,0,17,86,26,58,2,0
Keller,2015,"45,009",23,0,6,,6,11,329,62,258,9,1
Kemah,2015,"2,008",7,0,1,,5,1,170,11,156,3,0
Kenedy,2015,"3,463",11,0,0,,0,11,223,57,165,1,1
Kennedale,2015,"7,547",17,1,2,,3,11,169,64,94,11,0
Kermit,2015,"6,446",2,0,0,,0,2,18,7,11,0,0
Kerrville,2015,"23,034",70,1,10,,5,54,591,83,481,27,1
Kilgore,2015,"15,335",77,0,12,,12,53,582,99,442,41,4
Killeen,2015,"140,497",868,17,190,,148,513,"4,038","1,038","2,826",174,19
Kingsville,2015,"26,601",108,1,0,,8,99,845,185,632,28,4
Kirby,2015,"8,549",24,0,1,,7,16,192,32,141,19,0
Kirbyville,2015,"2,123",12,0,0,,0,12,20,6,10,4,3
Kountze,2015,"2,089",12,1,0,,1,10,41,8,31,2,0
Kress,2015,684,2,0,1,,0,1,4,3,1,0,0
Kyle,2015,"34,092",62,2,11,,6,43,537,65,440,32,1
Lacy-Lakeview,2015,"6,663",43,0,7,,5,31,280,58,201,21,2
La Feria,2015,"7,315",12,0,5,,0,7,251,54,197,0,2
Lago Vista,2015,"6,574",19,0,5,,1,13,76,9,64,3,1
La Grange,2015,"4,679",19,0,1,,2,16,87,17,66,4,0
La Grulla,2015,"1,685",3,2,0,,0,1,19,10,9,0,0
Laguna Vista,2015,"3,227",5,0,1,,0,4,35,6,27,2,0
Lake Dallas,2015,"7,505",37,0,2,,0,35,110,23,75,12,2
Lake Jackson,2015,"27,802",37,0,6,,8,23,469,70,376,23,1
Lakeside,2015,"1,388",0,0,0,,0,0,18,3,15,0,0
"Lakeview, Harrison County",2015,"6,468",10,0,0,,0,10,28,9,17,2,0
Lakeway,2015,"14,218",15,0,6,,1,8,153,33,118,2,0
Lake Worth,2015,"4,761",15,0,0,,6,9,532,76,443,13,0
Lamesa,2015,"9,443",46,1,9,,4,32,408,112,273,23,2
Lampasas,2015,"7,353",23,0,8,,1,14,231,38,182,11,1
Lancaster,2015,"38,884",190,4,17,,79,90,"1,585",373,993,219,3
La Porte,2015,"35,336",79,0,27,,11,41,560,95,402,63,4
Laredo,2015,"256,280",972,8,133,,162,669,"8,639","1,040","7,288",311,88
La Vernia,2015,"1,255",0,0,0,,0,0,18,3,15,0,0
La Villa4,2015,"2,525",6,0,0,,0,6,26,3,21,2,0
Lavon,2015,"2,703",0,0,0,,0,0,19,5,14,0,0
League City,2015,"97,172",88,1,25,,25,37,"1,767",240,"1,454",73,10
Leander,2015,"36,356",50,1,13,,8,28,399,49,334,16,6
Leon Valley,2015,"11,224",34,0,5,,16,13,725,85,575,65,0
Levelland,2015,"14,071",117,1,20,,9,87,533,136,380,17,1
Lewisville,2015,"104,741",243,2,42,,56,143,"2,390",396,"1,771",223,7
Lexington,2015,"1,168",7,0,3,,0,4,24,5,16,3,0
Liberty,2015,"9,050",38,1,2,,4,31,333,64,247,22,1
Lindale,2015,"5,680",24,0,2,,4,18,213,59,144,10,0
Linden,2015,"1,968",9,0,1,,0,8,42,12,27,3,0
Little Elm,2015,"38,205",38,0,2,,5,31,228,38,175,15,1
Littlefield,2015,"6,129",36,0,6,,4,26,178,62,107,9,0
Live Oak,2015,"15,628",40,1,8,,8,23,529,25,468,36,0
Llano,2015,"3,338",1,0,0,,0,1,65,17,46,2,0
Lockhart,2015,"13,354",25,0,4,,1,20,394,104,275,15,1
Lone Star,2015,"1,551",20,0,2,,0,18,33,7,25,1,1
Longview,2015,"81,842",422,15,42,,129,236,"4,063",787,"2,995",281,1
Lorena,2015,"1,742",4,0,1,,0,3,21,4,17,0,0
Los Fresnos,2015,"6,577",33,0,0,,1,32,179,12,164,3,0
Lubbock,2015,"247,271","2,391",16,187,,442,"1,746","12,378","2,629","8,800",949,33
Lufkin,2015,"36,401",142,1,7,,44,90,"1,697",328,"1,309",60,2
Luling,2015,"5,815",26,0,2,,4,20,105,16,84,5,2
Lumberton,2015,"12,382",26,0,9,,3,14,191,41,144,6,2
Lyford4,2015,"2,582",10,0,3,,1,6,49,22,25,2,0
Lytle,2015,"2,855",0,0,0,,0,0,165,17,142,6,1
Madisonville,2015,"4,589",19,0,5,,5,9,156,24,117,15,0
Magnolia,2015,"1,728",7,0,0,,1,6,47,12,29,6,0
Malakoff,2015,"2,308",5,0,0,,2,3,31,14,16,1,0
Manor,2015,"7,453",25,0,7,,8,10,246,30,210,6,0
Mansfield,2015,"63,684",58,1,11,,15,31,972,148,765,59,0
Manvel,2015,"7,752",14,0,0,,2,12,132,80,41,11,0
Marble Falls,2015,"6,212",11,0,0,,1,10,219,14,202,3,0
Marlin,2015,"5,682",18,0,2,,7,9,65,24,37,4,0
Marshall,2015,"25,005",134,2,11,,17,104,890,238,579,73,3
Martindale,2015,"1,224",1,0,1,,0,0,9,3,4,2,0
McAllen,2015,"140,593",152,2,16,,51,83,"4,637",435,"4,091",111,5
McGregor,2015,"5,049",25,0,3,,1,21,50,12,38,0,0
McKinney,2015,"163,406",265,2,47,,63,153,"2,677",297,"2,221",159,12
Meadows Place,2015,"4,778",11,0,0,,3,8,90,17,67,6,0
Melissa,2015,"7,303",6,0,1,,0,5,47,17,25,5,0
Memorial Villages,2015,"12,150",6,0,0,,3,3,86,27,58,1,0
Memphis,2015,"2,111",4,0,1,,0,3,7,3,4,0,1
Mercedes,2015,"16,788",96,1,15,,10,70,636,103,509,24,8
Merkel,2015,"2,603",3,0,1,,0,2,30,8,21,1,0
Mesquite,2015,"145,569",483,7,50,,224,202,"5,921","1,146","3,915",860,4
Mexia,2015,"7,508",42,0,6,,6,30,286,70,205,11,1
Midland,2015,"132,625",419,7,46,,61,305,"3,381",656,"2,544",181,6
Midlothian,2015,"21,607",23,0,4,,5,14,275,64,191,20,1
Mineola,2015,"4,578",2,0,0,,0,2,138,13,123,2,1
Mineral Wells,2015,"15,038",39,0,10,,5,24,563,114,417,32,2
Mission,2015,"83,552",85,1,21,,20,43,"2,025",243,"1,647",135,23
Missouri City,2015,"72,879",148,1,25,,59,63,"1,268",230,930,108,5
Monahans,2015,"7,800",17,0,3,,5,9,233,72,144,17,0
Mont Belvieu,2015,"5,098",6,0,2,,2,2,128,9,87,32,0
Montgomery,2015,733,3,0,0,,1,2,7,2,5,0,0
Morgans Point Resort,2015,"4,214",3,0,0,,0,3,19,5,13,1,0
Moulton,2015,903,0,0,0,,0,0,0,0,0,0,0
Mount Pleasant,2015,"16,022",79,0,16,,16,47,647,112,513,22,2
Muleshoe,2015,"4,932",11,0,3,,2,6,114,25,79,10,0
Munday,2015,"1,349",1,0,0,,0,1,20,14,5,1,0
Murphy,2015,"20,828",17,0,6,,3,8,126,13,110,3,1
Mustang Ridge,2015,983,1,0,0,,0,1,26,7,17,2,0
Nacogdoches,2015,"33,873",109,0,21,,17,71,"1,044",209,800,35,1
Naples,2015,"1,361",7,2,2,,1,2,29,13,11,5,0
Nash,2015,"3,188",28,0,1,,1,26,44,9,29,6,0
Nassau Bay,2015,"4,132",10,0,3,,2,5,99,16,77,6,0
Navasota,2015,"7,406",71,0,6,,4,61,219,50,156,13,0
Nederland,2015,"17,141",47,0,10,,1,36,425,77,316,32,0
Needville,2015,"3,087",8,0,3,,1,4,28,1,26,1,0
New Boston,2015,"4,737",8,0,0,,1,7,205,23,175,7,0
New Braunfels,2015,"68,641",175,2,21,,31,121,"2,058",270,"1,624",164,2
Nixon,2015,"2,477",12,0,3,,1,8,45,22,23,0,0
Nocona,2015,"2,956",3,0,0,,0,3,17,8,8,1,0
Nolanville,2015,"4,671",20,0,1,,0,19,68,15,41,12,0
Northeast,2015,"2,517",3,0,0,,1,2,141,11,129,1,0
Northlake,2015,"1,934",6,0,0,,0,6,63,12,48,3,0
North Richland Hills,2015,"69,849",128,1,32,,31,64,"1,615",223,"1,318",74,3
Oak Ridge,2015,179,0,0,0,,0,0,2,0,2,0,0
Oak Ridge North,2015,"3,186",5,0,0,,2,3,55,8,44,3,0
Odessa,2015,"118,606","1,228",10,72,,161,985,"4,541",862,"3,192",487,31
Olmos Park,2015,"2,391",0,0,0,,0,0,39,2,37,0,1
Olney,2015,"3,206",3,0,0,,0,3,87,27,56,4,0
Olton,2015,"2,143",7,0,0,,0,7,33,13,16,4,0
Omaha,2015,"1,003",0,0,0,,0,0,10,5,5,0,0
Onalaska,2015,"1,708",16,0,1,,0,15,31,16,11,4,1
Orange,2015,"18,983",158,2,0,,64,92,588,211,343,34,15
Orange Grove,2015,"1,339",1,0,0,,0,1,24,6,17,1,0
Overton,2015,"2,533",12,0,4,,0,8,58,19,36,3,0
Ovilla,2015,"3,651",5,0,0,,0,5,27,7,18,2,0
Oyster Creek,2015,"1,138",11,0,0,,1,10,41,14,19,8,1
Paducah,2015,"1,097",5,0,0,,0,5,3,1,2,0,0
Palacios,2015,"4,638",4,0,0,,1,3,135,34,97,4,1
Palestine,2015,"18,299",182,2,25,,18,137,713,131,534,48,1
Palmer,2015,"2,043",1,0,0,,1,0,31,7,24,0,0
Palmhurst,2015,"2,690",8,0,0,,1,7,128,8,116,4,0
Palm Valley,2015,"1,301",1,0,0,,0,1,10,4,5,1,0
Palmview,2015,"5,705",66,3,6,,9,48,288,60,213,15,1
Pampa,2015,"18,517",94,0,1,,6,87,947,168,737,42,0
Panhandle,2015,"2,335",3,0,0,,0,3,13,4,7,2,0
Pantego,2015,"2,532",8,0,1,,1,6,125,19,102,4,0
Paris,2015,"24,823",121,1,5,,21,94,989,243,726,20,0
Parker,2015,"4,387",1,0,0,,0,1,37,14,22,1,0
Pasadena,2015,"154,986",632,2,70,,183,377,"4,273",724,"2,994",555,41
Patton Village,2015,"1,632",10,0,0,,1,9,28,9,14,5,6
Pearland,2015,"106,850",164,2,47,,45,70,"2,180",315,"1,750",115,2
Pearsall,2015,"10,031",30,0,1,,6,23,225,83,138,4,0
Pecos,2015,"9,321",71,1,6,,3,61,142,34,105,3,0
Pelican Bay,2015,"1,632",7,0,0,,0,7,9,5,3,1,0
Penitas,2015,"4,698",36,0,3,,3,30,140,13,120,7,0
Perryton,2015,"9,390",13,0,1,,0,12,67,11,47,9,1
Pflugerville,2015,"56,240",76,0,23,,18,35,831,114,687,30,1
Pharr,2015,"76,576",174,1,34,,13,126,"1,807",303,"1,414",90,6
Pilot Point,2015,"4,104",4,0,0,,0,4,39,10,27,2,3
Pinehurst,2015,"2,080",17,0,0,,4,13,62,6,48,8,0
Pittsburg,2015,"4,600",38,2,4,,3,29,151,48,85,18,1
Plainview,2015,"20,907",49,0,7,,6,36,855,169,661,25,4
Plano,2015,"282,968",433,4,91,,116,222,"5,091",736,"4,083",272,19
Pleasanton,2015,"9,819",26,1,5,,3,17,634,100,501,33,0
Ponder,2015,"1,506",4,0,1,,0,3,16,3,12,1,0
Port Aransas,2015,"3,978",19,0,9,,1,9,402,53,325,24,1
Port Arthur,2015,"54,557",328,5,27,,85,211,"2,434",794,"1,518",122,11
Port Isabel,2015,"5,022",35,0,0,,2,33,253,36,212,5,0
Portland,2015,"16,140",16,0,2,,7,7,524,60,449,15,0
Port Lavaca,2015,"12,446",101,0,11,,5,85,345,123,194,28,1
Port Neches,2015,"12,690",45,0,1,,2,42,217,49,157,11,1
Poteet,2015,"3,426",10,1,2,,0,7,144,29,103,12,1
Poth,2015,"2,152",4,0,2,,1,1,25,7,17,1,0
Pottsboro,2015,"2,231",8,0,0,,0,8,16,4,10,2,0
Prairie View,2015,"6,360",26,2,2,,8,14,50,19,25,6,1
